fitness: [[ 1.77878094e+01  5.01048340e+02]
 [-1.08718860e+03  4.82701233e+02]
 [-6.08659897e+01  4.54835297e+02]
 [-7.63349976e+02  4.89741913e+02]
 [-1.08318433e+03  4.73641144e+02]
 [-1.06415198e+03  4.68670593e+02]
 [-1.12898582e+02  4.61149841e+02]
 [-6.57692017e+02  4.60652588e+02]
 [-3.01631836e+02  4.85605225e+02]
 [-1.48567841e+02  4.85392365e+02]
 [-7.57140442e+02  4.71887207e+02]
 [-9.39561279e+02  4.73950623e+02]
 [-8.65891174e+02  4.71871552e+02]
 [-2.14176895e+02  4.66700226e+02]
 [ 4.65040817e+01  4.94633942e+02]
 [-1.20323889e+03  4.83786346e+02]
 [-9.32967957e+02  4.88912689e+02]
 [-1.09400769e+03  4.84567719e+02]
 [ 1.15391579e+02  4.80794861e+02]
 [-4.41642990e+01  4.62561127e+02]
 [-1.72850085e+03  5.10210815e+02]
 [ 1.23606583e+02  4.75431763e+02]
 [-7.04740601e+02  4.59302948e+02]
 [-6.64787292e+02  4.90002930e+02]
 [-8.09020813e+02  4.71009308e+02]
 [-1.29304968e+03  4.89682465e+02]
 [-8.57839417e+02  4.60268158e+02]
 [-5.37756409e+02  4.66703857e+02]
 [-1.54919958e+03  5.09016327e+02]
 [-1.53266492e+03  4.92191040e+02]
 [-1.08170215e+03  4.93539886e+02]
 [-3.62539185e+02  4.66957275e+02]
 [ 1.42014008e+02  4.67112244e+02]
 [-8.61659622e+01  4.76620392e+02]
 [-6.31979431e+02  4.52334473e+02]
 [-7.59984619e+02  4.64305054e+02]
 [-5.37558670e+01  5.01686401e+02]
 [-1.43071802e+03  4.87210480e+02]
 [ 1.40981216e+01  4.78816315e+02]
 [-9.13819031e+02  4.65358887e+02]
 [-1.24825818e+03  4.89933655e+02]
 [-3.22247040e+02  4.62200592e+02]
 [-6.41831116e+02  4.66713867e+02]
 [-8.84762756e+02  4.57086700e+02]
 [-5.75570923e+02  4.59087799e+02]
 [ 7.01615448e+01  4.54473328e+02]
 [-9.01041382e+02  4.69225098e+02]
 [-2.06145267e+01  4.74804291e+02]
 [-1.49872815e+03  5.04222809e+02]
 [-8.91670715e+02  4.72464783e+02]
 [-6.44932983e+02  4.90942627e+02]
 [-7.78187012e+02  4.66079956e+02]
 [-1.39824866e+03  4.98981415e+02]
 [-1.52633862e+03  4.95604340e+02]
 [-6.16258179e+02  4.67933624e+02]
 [-9.62246948e+02  4.87491302e+02]
 [-1.19988660e+03  4.83301605e+02]
 [-1.11914841e+02  4.91108521e+02]
 [ 7.85133362e+01  4.98054688e+02]
 [-1.88148911e+02  4.56473755e+02]
 [-7.46417725e+02  4.62202209e+02]
 [-1.98856873e+02  5.01923370e+02]
 [-1.58341809e+03  4.96753113e+02]
 [-9.05206833e+01  4.77516602e+02]
 [-7.11942444e+02  4.59331207e+02]
 [-1.66719910e+03  5.03366302e+02]
 [-1.28702771e+03  4.91725677e+02]
 [-1.60472977e+02  4.52911377e+02]
 [ 1.72363758e+00  4.99714142e+02]
 [-1.12310620e+03  4.89331146e+02]
 [-1.22258008e+03  5.04001740e+02]
 [-1.90044952e+02  4.53205109e+02]
 [-7.25130157e+01  4.75354126e+02]
 [-1.70286133e+02  4.56233795e+02]
 [ 3.37361755e+01  4.58480927e+02]
 [-9.83324341e+02  4.99309631e+02]
 [-7.98752899e+01  4.55673553e+02]
 [-2.29090546e+02  4.48287476e+02]
 [ 5.48320618e+01  4.89473694e+02]
 [-1.14219507e+03  4.92772095e+02]
 [-7.53934143e+02  4.65426239e+02]
 [-2.37243454e+02  4.52359192e+02]
 [-3.02657745e+02  4.57984619e+02]
 [-6.57136719e+02  4.69597473e+02]
 [-1.03739246e+03  4.77923767e+02]
 [-5.85990112e+02  4.57650482e+02]
 [-5.86008835e+01  4.93637024e+02]
 [-9.80336060e+02  4.90500763e+02]
 [ 8.56849060e+01  4.78351624e+02]
 [ 6.56740952e+01  4.77866486e+02]
 [-1.43653778e+02  4.71264526e+02]
 [-8.83919067e+02  4.78015167e+02]
 [-6.16306885e+02  4.58378418e+02]
 [-6.37408142e+02  4.58936371e+02]
 [ 3.16421299e+01  4.60119293e+02]
 [-1.47613843e+03  4.94469666e+02]
 [-4.93408539e+02  4.58013794e+02]
 [-3.20399213e+00  4.80558289e+02]
 [-2.56082672e+02  4.80646332e+02]
 [-8.57954529e+02  4.65275269e+02]
 [-6.08645081e+02  4.62772766e+02]
 [-2.31988678e+01  4.80334442e+02]
 [-1.38255383e+03  4.92954926e+02]
 [ 6.36859512e+01  4.69024567e+02]
 [-1.06931183e+02  4.85523590e+02]
 [-6.32819031e+02  4.63777588e+02]
 [-2.57427673e+02  4.61179047e+02]
 [-1.38322546e+03  4.97608215e+02]
 [-8.08271118e+02  4.68641174e+02]
 [-7.16391602e+02  4.69845947e+02]
 [-1.24522644e+03  4.91214111e+02]
 [ 1.23559540e+02  4.85454834e+02]
 [-1.28649597e+03  5.00481445e+02]
 [ 1.23534012e+02  4.79491455e+02]
 [-1.36709839e+03  4.98552216e+02]
 [-4.31435364e+02  4.53973907e+02]
 [-6.02486389e+02  4.58201172e+02]
 [-9.97424011e+02  4.87461853e+02]
 [-9.48075806e+02  4.78434631e+02]
 [ 1.38802750e+02  4.76998627e+02]
 [-8.31622791e+00  4.55339600e+02]
 [-1.10017517e+03  4.86240448e+02]
 [-4.54264954e+02  4.59652130e+02]
 [-1.14755750e+00  4.87862213e+02]
 [-4.41832123e+02  4.56385254e+02]
 [ 8.51201477e+01  4.75655487e+02]
 [-6.45251892e+02  4.59292084e+02]
 [-1.95427765e+02  4.90574738e+02]
 [-8.53483810e+01  4.54378052e+02]
 [-6.30093117e+01  5.05908997e+02]
 [-1.37442920e+03  5.07145386e+02]
 [-6.48642349e+01  4.81661407e+02]
 [-1.31150496e+00  4.88018250e+02]
 [-7.11879761e+02  4.55536804e+02]
 [ 3.52584496e+01  4.99112762e+02]
 [-1.38822278e+03  5.09816223e+02]
 [-2.16095200e+02  4.54421692e+02]
 [ 1.43224533e+02  4.51132416e+02]
 [-6.28506714e+02  4.59619934e+02]
 [-9.95998169e+02  4.79217468e+02]
 [ 3.12754879e+01  4.63414001e+02]
 [ 5.84861660e+00  4.52062073e+02]
 [-5.68404274e+01  4.81388123e+02]
 [ 8.38919907e+01  4.96484894e+02]
 [-1.35777014e+03  4.96774567e+02]
 [-9.57504822e+02  4.81232178e+02]
 [ 9.86808472e+01  4.93942596e+02]
 [-2.55735302e+01  4.79838501e+02]
 [-5.81475342e+02  4.60428253e+02]
 [-1.06387610e+03  4.68359436e+02]
 [ 6.13190117e+01  4.59570526e+02]
 [-1.07909595e+03  4.88582306e+02]
 [-5.40453613e+02  4.61682281e+02]
 [-6.73148438e+02  4.58804108e+02]
 [-9.74421082e+02  4.65924286e+02]
 [-6.61482178e+02  4.59342651e+02]
 [-1.09383081e+03  4.86885437e+02]
 [ 2.71520111e+02  4.79889160e+02]
 [ 8.99425089e-01  4.59185455e+02]
 [-8.41922119e+02  4.64823212e+02]
 [-2.26404266e+01  4.90688416e+02]
 [-8.99337997e+01  4.60284363e+02]
 [-6.84106384e+02  5.04097229e+02]
 [-6.99072266e+02  4.58180389e+02]
 [-1.16038179e+01  4.65869781e+02]
 [-1.32365295e+03  4.89885315e+02]
 [ 1.62705948e+02  4.80407990e+02]
 [-1.52454504e+03  5.07096252e+02]
 [-7.52843140e+02  4.60057770e+02]
 [-6.57971619e+02  4.57130157e+02]
 [ 2.59457169e+01  4.69701385e+02]
 [-9.19229492e+02  4.87647400e+02]
 [-5.90735291e+02  4.57681580e+02]
 [-8.74693665e+02  4.91765289e+02]
 [ 1.46664413e+02  4.91072968e+02]
 [-6.12432068e+02  4.61155090e+02]
 [-1.04913818e+03  4.88702179e+02]
 [-2.64532135e+02  4.54796478e+02]
 [-4.84840393e+00  4.62683624e+02]
 [-8.31214752e+01  4.51075287e+02]
 [-6.14539576e+00  4.66202515e+02]
 [-1.64765405e+03  5.01970276e+02]
 [ 1.02527107e+02  4.71739716e+02]
 [-1.55653516e+03  4.89658325e+02]
 [-6.79075012e+02  4.61151154e+02]
 [-1.73471655e+03  5.05836426e+02]
 [-1.45066736e+03  5.01882294e+02]
 [ 7.71939316e+01  4.60826263e+02]
 [-2.42939163e+02  4.54691132e+02]
 [ 8.78441925e+01  4.72727356e+02]
 [-7.31339905e+02  4.64513885e+02]
 [-1.01972369e+03  4.70888916e+02]
 [ 1.24503088e+01  4.62065796e+02]
 [-4.17457001e+02  4.67103760e+02]
 [ 4.28306723e+00  4.72065887e+02]
 [-9.60148315e+02  4.82839905e+02]
 [-1.37451691e+02  4.93000183e+02]
 [-1.04010156e+03  4.80843964e+02]
 [ 1.97862396e+02  4.83486389e+02]
 [-4.84041862e+01  4.82018036e+02]
 [ 5.32729034e+01  4.90424469e+02]
 [ 2.23861893e+02  4.83246460e+02]
 [ 2.82580566e+01  4.86954651e+02]
 [ 3.50796471e+01  5.05433167e+02]
 [-1.23330225e+03  5.03648193e+02]
 [-1.05549097e+03  4.90049377e+02]
 [-5.74126625e+01  4.81983704e+02]
 [-7.04504883e+02  4.82314880e+02]
 [ 1.04016556e+02  5.06382599e+02]
 [-2.99031830e+01  4.78896942e+02]
 [ 2.04041920e+01  5.03147186e+02]
 [-1.41793732e+02  5.58608337e+02]
 [-2.38436356e+02  4.96169678e+02]
 [-3.45374794e+01  4.93011719e+02]
 [ 1.34035858e+02  4.91099274e+02]
 [ 1.68491364e+01  5.09680908e+02]
 [-1.95095634e+01  4.73499054e+02]
 [-1.06525305e+03  4.84943146e+02]
 [ 1.25173035e+02  4.83691864e+02]
 [-5.65047974e+02  4.59499084e+02]
 [-8.60576538e+02  4.64078491e+02]
 [-7.30465271e+02  4.58772034e+02]
 [-8.68267212e+02  4.72019073e+02]
 [ 2.24806652e+01  4.96219574e+02]
 [-9.06535278e+02  4.62881714e+02]
 [ 2.92068939e+02  4.80884277e+02]
 [ 1.58465393e+02  4.78722260e+02]
 [-8.41259949e+02  4.69798187e+02]
 [ 1.58302811e+02  4.94950958e+02]
 [-4.50271362e+02  4.59317169e+02]
 [-8.19443848e+02  4.80355591e+02]
 [-1.19829688e+03  4.86454163e+02]
 [ 2.19838440e+02  4.79479218e+02]
 [ 9.74748306e+01  4.88056915e+02]
 [ 9.42426741e-01  4.76889130e+02]
 [-9.03594666e+02  4.65663147e+02]
 [-5.56291443e+02  4.64477478e+02]
 [-7.37525818e+02  4.62115356e+02]
 [-3.41037506e+02  5.06907654e+02]
 [ 1.85344986e+02  4.84152344e+02]
 [-6.80006165e+02  4.58313354e+02]
 [-1.38664661e+03  5.00164581e+02]
 [-2.95007896e+01  4.79604858e+02]
 [ 1.23908943e+02  4.84288269e+02]
 [-8.44613770e+02  4.70317261e+02]
 [ 9.52484055e+01  4.98104889e+02]
 [-1.12393469e+03  4.82748077e+02]
 [-1.97363617e+02  4.87807617e+02]
 [ 7.09266357e+01  4.92404541e+02]
 [ 4.66762238e+01  4.86389679e+02]
 [-3.44170685e+01  5.03025238e+02]
 [ 8.64109497e+01  4.89841003e+02]
 [-7.66379883e+02  4.67134460e+02]
 [-1.21528186e+03  4.78913330e+02]
 [-3.91122742e+02  4.76551025e+02]
 [-1.05264661e+03  4.72019348e+02]
 [-5.68851196e+02  4.59748077e+02]
 [-5.18056030e+02  4.64845093e+02]
 [ 3.08665009e+02  4.84183655e+02]
 [ 4.29268341e+01  4.92037079e+02]
 [ 1.00603104e+02  4.65390198e+02]
 [-9.03184509e+02  4.87319641e+02]
 [-3.07346100e+02  4.74911072e+02]
 [-9.97521667e+02  4.82360809e+02]
 [ 1.28446533e+02  4.88491638e+02]
 [ 1.31199942e+01  4.94738770e+02]
 [-6.08923706e+02  5.03791046e+02]
 [-1.06850928e+03  4.76853516e+02]
 [-3.72420807e+01  4.88059937e+02]
 [-6.44378479e+02  4.69188110e+02]
 [-2.75202759e+02  4.99345795e+02]
 [ 9.24590302e+01  4.92082336e+02]
 [ 1.85640762e+02  4.82779388e+02]
 [-1.16138049e+03  4.77662445e+02]
 [ 2.58025074e+01  4.83924927e+02]
 [ 9.11148148e+01  4.79128479e+02]
 [-6.14830627e+01  4.89569214e+02]
 [-2.70116348e+01  4.90528137e+02]
 [-5.82178040e+02  4.78540192e+02]
 [-9.46565063e+02  4.66340576e+02]
 [-5.11171539e+02  4.64187897e+02]
 [-2.86525517e+01  4.97236023e+02]
 [-7.35987549e+02  4.63040375e+02]
 [-8.29702148e+02  4.55323608e+02]
 [ 9.51000748e+01  4.87905334e+02]
 [ 1.91944447e+01  5.07678131e+02]
 [-7.71554031e+01  4.91315643e+02]
 [-3.06928528e+02  4.81288391e+02]
 [-2.85873795e+01  4.90034515e+02]
 [-1.96239288e+02  4.97345917e+02]
 [ 3.38834724e+01  4.88744385e+02]
 [ 3.31253166e+01  4.85883759e+02]
 [-9.06414856e+02  4.71832031e+02]
 [-6.43175720e+02  4.61012177e+02]
 [-9.01414490e+02  4.81942444e+02]
 [-1.61840912e+02  5.22573547e+02]
 [-7.09011169e+02  4.65874207e+02]
 [-1.31437561e+03  5.02456726e+02]
 [-8.39830200e+02  4.64717224e+02]
 [-8.23000031e+01  4.70934326e+02]
 [ 2.76084843e+01  5.00779114e+02]
 [ 6.30351753e+01  4.79263245e+02]
 [ 6.65067978e+01  4.71235443e+02]
 [ 7.74743423e+01  4.88990051e+02]
 [-1.00585797e+03  4.93036041e+02]
 [-8.09410400e+02  4.71598328e+02]
 [ 8.26714401e+01  4.86425140e+02]
 [-1.09698950e+03  4.82210510e+02]
 [ 2.02052292e+02  5.00945862e+02]
 [-1.62533020e+02  4.76917786e+02]
 [ 9.83873062e+01  4.97969177e+02]
 [-4.69398560e+02  5.02585388e+02]
 [ 1.79936814e+00  4.94809174e+02]
 [-9.89056931e+01  4.99026367e+02]
 [-6.81585922e+01  4.83221283e+02]
 [ 8.55842514e+01  4.90429840e+02]
 [ 1.01737068e+02  4.81643951e+02]
 [-1.19557434e+03  4.84635864e+02]
 [-7.69438782e+02  4.79842865e+02]
 [-7.77555298e+02  4.58115356e+02]
 [-8.82324341e+02  4.72704010e+02]
 [-7.39412476e+02  4.62583221e+02]
 [-1.00488202e+03  4.75857178e+02]
 [ 1.14084839e+02  4.84507568e+02]
 [-5.85168701e+02  4.62055023e+02]
 [ 9.31796265e+01  4.99710510e+02]
 [-5.19874512e+02  4.60546295e+02]
 [-8.43108521e+02  4.76542358e+02]
 [-3.99336739e+01  5.02675629e+02]
 [-7.14573547e+02  4.59507202e+02]
 [-1.07213538e+03  4.80160675e+02]
 [-7.48428589e+02  4.69210815e+02]
 [-5.49136963e+02  4.95835144e+02]
 [ 3.93040863e+02  5.21237244e+02]
 [ 1.42679245e+02  5.09088837e+02]
 [-6.60611145e+02  4.58517517e+02]
 [-9.15247803e+02  4.81396210e+02]
 [-6.82274109e+02  4.55289642e+02]
 [-1.78877487e+02  4.97558044e+02]
 [-2.07644806e+02  4.68775757e+02]
 [-7.70337769e+02  4.56380219e+02]
 [-1.21715076e+03  5.06202179e+02]
 [-4.18226532e+02  4.87234314e+02]
 [ 6.95705261e+01  4.97738403e+02]
 [-1.00656317e+03  4.76550690e+02]
 [-2.70865536e+01  4.82445618e+02]
 [-9.76231689e+02  4.97085663e+02]
 [-1.68330145e+00  4.88575928e+02]
 [ 8.49796524e+01  4.81924042e+02]
 [ 8.38930283e+01  4.86804230e+02]
 [-1.03372231e+01  5.12660461e+02]
 [ 1.34403067e+01  4.74971100e+02]
 [-8.18948853e+02  4.66092194e+02]
 [-1.00744373e+03  4.69057495e+02]
 [ 1.10437298e+01  4.84653656e+02]
 [-8.45540527e+02  4.73089874e+02]
 [-8.23142700e+02  4.64787842e+02]
 [-1.07367554e+03  4.70591370e+02]
 [ 1.67405762e+02  4.92034332e+02]
 [-9.78054428e+00  4.88490997e+02]
 [-1.83645954e+01  4.95869843e+02]
 [-6.90099976e+02  4.62986572e+02]
 [-7.07783508e+01  4.98849792e+02]
