it: 1, min: 1.646552324295044, max: 100.0, mean: 76.63011169433594, var: 434.8482971191406, global_min: 1.646552324295044
it: 2, min: -14.558441162109375, max: 200.0, mean: 131.51943969726562, var: 767.7716064453125, global_min: -14.558441162109375
it: 3, min: 27.903671264648438, max: 200.0, mean: 128.75326538085938, var: 734.3215942382812, global_min: -14.558441162109375
it: 4, min: 34.88427734375, max: 193.02992248535156, mean: 126.58975982666016, var: 646.8245239257812, global_min: -14.558441162109375
it: 5, min: 59.459102630615234, max: 186.27345275878906, mean: 122.12113952636719, var: 513.574462890625, global_min: -14.558441162109375
it: 6, min: 27.903671264648438, max: 200.0, mean: 123.88312530517578, var: 552.6044311523438, global_min: -14.558441162109375
it: 7, min: -69.55844116210938, max: 179.74905395507812, mean: 116.43587493896484, var: 657.75341796875, global_min: -69.55844116210938
it: 8, min: 45.441558837890625, max: 186.27345275878906, mean: 110.09286499023438, var: 748.6941528320312, global_min: -69.55844116210938
it: 9, min: 45.441558837890625, max: 200.0, mean: 106.5830078125, var: 791.1820068359375, global_min: -69.55844116210938
it: 10, min: 57.244956970214844, max: 200.0, mean: 104.550537109375, var: 514.5824584960938, global_min: -69.55844116210938
it: 11, min: 55.441558837890625, max: 186.27345275878906, mean: 108.263916015625, var: 546.880126953125, global_min: -69.55844116210938
it: 12, min: 45.441558837890625, max: 200.0, mean: 105.45968627929688, var: 532.44775390625, global_min: -69.55844116210938
it: 13, min: 57.244956970214844, max: 164.75868225097656, mean: 101.03201293945312, var: 312.861328125, global_min: -69.55844116210938
it: 14, min: 45.441558837890625, max: 179.74905395507812, mean: 99.30085754394531, var: 281.8154296875, global_min: -69.55844116210938
it: 15, min: 45.441558837890625, max: 165.66871643066406, mean: 98.17826080322266, var: 309.5003967285156, global_min: -69.55844116210938
it: 16, min: 45.441558837890625, max: 150.62440490722656, mean: 97.57160949707031, var: 208.6959686279297, global_min: -69.55844116210938
it: 17, min: 55.89516830444336, max: 156.39178466796875, mean: 99.7043228149414, var: 316.9989318847656, global_min: -69.55844116210938
it: 18, min: 59.459102630615234, max: 200.0, mean: 100.4457778930664, var: 379.1879577636719, global_min: -69.55844116210938
it: 19, min: 49.84462356567383, max: 164.75868225097656, mean: 95.12602996826172, var: 301.3077087402344, global_min: -69.55844116210938
it: 20, min: 55.441558837890625, max: 171.71572875976562, mean: 93.78868865966797, var: 425.8785400390625, global_min: -69.55844116210938
it: 21, min: 45.441558837890625, max: 167.4775848388672, mean: 89.80469512939453, var: 600.28271484375, global_min: -69.55844116210938
it: 22, min: 49.84462356567383, max: 173.4766387939453, mean: 80.8553466796875, var: 638.354736328125, global_min: -69.55844116210938
it: 23, min: 53.14485549926758, max: 200.0, mean: 79.12543487548828, var: 765.6226196289062, global_min: -69.55844116210938
it: 24, min: 62.06059646606445, max: 167.4775848388672, mean: 72.12044525146484, var: 455.9609680175781, global_min: -69.55844116210938
it: 25, min: 57.244956970214844, max: 142.67239379882812, mean: 66.84275817871094, var: 202.75001525878906, global_min: -69.55844116210938
it: 26, min: 57.244956970214844, max: 167.4775848388672, mean: 66.29739379882812, var: 192.36854553222656, global_min: -69.55844116210938
it: 27, min: 62.06059646606445, max: 151.5968475341797, mean: 65.90611267089844, var: 177.5424041748047, global_min: -69.55844116210938
it: 28, min: 62.06059646606445, max: 179.74905395507812, mean: 65.60581970214844, var: 222.05067443847656, global_min: -69.55844116210938
it: 29, min: 62.06059646606445, max: 167.4775848388672, mean: 67.15238952636719, var: 351.2248229980469, global_min: -69.55844116210938
it: 30, min: 62.06059646606445, max: 156.39178466796875, mean: 65.63732147216797, var: 247.98056030273438, global_min: -69.55844116210938
it: 31, min: 62.06059646606445, max: 167.4775848388672, mean: 67.20771026611328, var: 357.5046691894531, global_min: -69.55844116210938
it: 32, min: 62.06059646606445, max: 146.68768310546875, mean: 64.47355651855469, var: 188.6360321044922, global_min: -69.55844116210938
it: 33, min: 62.06059646606445, max: 146.68768310546875, mean: 64.6192855834961, var: 192.17103576660156, global_min: -69.55844116210938
it: 34, min: 57.244956970214844, max: 129.8324432373047, mean: 62.445804595947266, var: 22.258256912231445, global_min: -69.55844116210938
it: 35, min: 62.06059646606445, max: 156.39178466796875, mean: 63.234710693359375, var: 89.27488708496094, global_min: -69.55844116210938
it: 36, min: 62.06059646606445, max: 106.68671417236328, mean: 62.32930374145508, var: 9.006993293762207, global_min: -69.55844116210938
it: 37, min: 62.06059646606445, max: 106.68671417236328, mean: 62.261409759521484, var: 8.123988151550293, global_min: -69.55844116210938
it: 38, min: 62.06059646606445, max: 146.68768310546875, mean: 62.766845703125, var: 53.52892303466797, global_min: -69.55844116210938
it: 39, min: 62.06059646606445, max: 186.27345275878906, mean: 62.77092742919922, var: 60.57114028930664, global_min: -69.55844116210938
it: 40, min: 62.06059646606445, max: 142.67239379882812, mean: 62.34223556518555, var: 18.733001708984375, global_min: -69.55844116210938
it: 41, min: 62.06059646606445, max: 146.68768310546875, mean: 62.43682861328125, var: 28.607929229736328, global_min: -69.55844116210938
it: 42, min: 62.06059646606445, max: 146.68768310546875, mean: 62.27217102050781, var: 17.859600067138672, global_min: -69.55844116210938
it: 43, min: 62.06059646606445, max: 151.35415649414062, mean: 62.63927459716797, var: 41.69611358642578, global_min: -69.55844116210938
it: 44, min: 62.06059646606445, max: 161.77462768554688, mean: 62.30989074707031, var: 24.795087814331055, global_min: -69.55844116210938
it: 45, min: 62.06059646606445, max: 62.06059646606445, mean: 62.060604095458984, var: 5.820766091346741e-11, global_min: -69.55844116210938
it: 46, min: 62.06059646606445, max: 142.41871643066406, mean: 62.261497497558594, var: 16.10321044921875, global_min: -69.55844116210938
it: 47, min: 62.06059646606445, max: 106.68671417236328, mean: 62.17216491699219, var: 4.966279029846191, global_min: -69.55844116210938
it: 48, min: 62.06059646606445, max: 62.06059646606445, mean: 62.060604095458984, var: 5.820766091346741e-11, global_min: -69.55844116210938
it: 49, min: 62.06059646606445, max: 142.41871643066406, mean: 62.261497497558594, var: 16.10321044921875, global_min: -69.55844116210938
it: 50, min: 62.06059646606445, max: 146.68768310546875, mean: 62.48373794555664, var: 35.62968444824219, global_min: -69.55844116210938
it: 51, min: 62.06059646606445, max: 91.04375457763672, mean: 62.13306427001953, var: 2.094808340072632, global_min: -69.55844116210938
it: 52, min: 62.06059646606445, max: 94.10224914550781, mean: 62.14070510864258, var: 2.5602519512176514, global_min: -69.55844116210938
it: 53, min: 62.06059646606445, max: 146.68768310546875, mean: 62.27217102050781, var: 17.859601974487305, global_min: -69.55844116210938
it: 54, min: 62.06059646606445, max: 62.06059646606445, mean: 62.060604095458984, var: 5.820766091346741e-11, global_min: -69.55844116210938
it: 55, min: 62.06059646606445, max: 62.06059646606445, mean: 62.060604095458984, var: 5.820766091346741e-11, global_min: -69.55844116210938
it: 56, min: 62.06059646606445, max: 62.06059646606445, mean: 62.060604095458984, var: 5.820766091346741e-11, global_min: -69.55844116210938
it: 57, min: 62.06059646606445, max: 62.06059646606445, mean: 62.060604095458984, var: 5.820766091346741e-11, global_min: -69.55844116210938
it: 58, min: 62.06059646606445, max: 62.06059646606445, mean: 62.060604095458984, var: 5.820766091346741e-11, global_min: -69.55844116210938
it: 59, min: 62.06059646606445, max: 142.41871643066406, mean: 62.261497497558594, var: 16.10321044921875, global_min: -69.55844116210938
it: 60, min: 62.06059646606445, max: 132.25697326660156, mean: 62.23609161376953, var: 12.288030624389648, global_min: -69.55844116210938
it: 61, min: 62.06059646606445, max: 62.06059646606445, mean: 62.060604095458984, var: 5.820766091346741e-11, global_min: -69.55844116210938
it: 62, min: 62.06059646606445, max: 62.06059646606445, mean: 62.060604095458984, var: 5.820766091346741e-11, global_min: -69.55844116210938
it: 63, min: 62.06059646606445, max: 62.06059646606445, mean: 62.060604095458984, var: 5.820766091346741e-11, global_min: -69.55844116210938
it: 64, min: 62.06059646606445, max: 62.06059646606445, mean: 62.060604095458984, var: 5.820766091346741e-11, global_min: -69.55844116210938
it: 65, min: 62.06059646606445, max: 62.06059646606445, mean: 62.060604095458984, var: 5.820766091346741e-11, global_min: -69.55844116210938
it: 66, min: 62.06059646606445, max: 62.06059646606445, mean: 62.060604095458984, var: 5.820766091346741e-11, global_min: -69.55844116210938
it: 67, min: 62.06059646606445, max: 62.06059646606445, mean: 62.060604095458984, var: 5.820766091346741e-11, global_min: -69.55844116210938
it: 68, min: 62.06059646606445, max: 62.06059646606445, mean: 62.060604095458984, var: 5.820766091346741e-11, global_min: -69.55844116210938
it: 69, min: 62.06059646606445, max: 62.06059646606445, mean: 62.060604095458984, var: 5.820766091346741e-11, global_min: -69.55844116210938
it: 70, min: 62.06059646606445, max: 62.06059646606445, mean: 62.060604095458984, var: 5.820766091346741e-11, global_min: -69.55844116210938
it: 71, min: 62.06059646606445, max: 62.06059646606445, mean: 62.060604095458984, var: 5.820766091346741e-11, global_min: -69.55844116210938
it: 72, min: 62.06059646606445, max: 62.06059646606445, mean: 62.060604095458984, var: 5.820766091346741e-11, global_min: -69.55844116210938
it: 73, min: 62.06059646606445, max: 62.06059646606445, mean: 62.060604095458984, var: 5.820766091346741e-11, global_min: -69.55844116210938
it: 74, min: 62.06059646606445, max: 62.06059646606445, mean: 62.060604095458984, var: 5.820766091346741e-11, global_min: -69.55844116210938
