fitness: [[ 1.35675690e+02  4.80783264e+02]
 [-2.64878845e+02  4.85209503e+02]
 [-1.17421997e+03  4.86225586e+02]
 [-7.11451416e+01  4.69338928e+02]
 [-1.06791718e+02  4.89948883e+02]
 [-1.28082629e+03  4.87866425e+02]
 [-6.41301270e+02  4.59080719e+02]
 [ 1.71965637e+02  4.98937988e+02]
 [-2.16340927e+02  4.80198273e+02]
 [-1.55458105e+03  4.97151367e+02]
 [-6.53652802e+01  4.51485992e+02]
 [-1.17789746e+03  4.92799744e+02]
 [-9.07702759e+02  4.66890717e+02]
 [ 1.48520355e+02  4.70648315e+02]
 [-1.20202612e+03  4.95067902e+02]
 [-9.75130005e+02  4.81801605e+02]
 [-1.45461523e+03  4.93623260e+02]
 [ 8.59538269e+01  4.68983765e+02]
 [ 1.12117805e+02  4.62273926e+02]
 [-6.93752075e+02  4.63832520e+02]
 [-2.02247604e+02  4.51794800e+02]
 [-9.80336731e+02  4.71955780e+02]
 [ 1.60768967e+02  4.84028748e+02]
 [ 3.92741737e+01  4.80641357e+02]
 [-1.35332751e+03  4.87007660e+02]
 [-1.05279248e+03  4.91458588e+02]
 [-6.78985229e+02  4.56636597e+02]
 [-1.60196991e+02  4.63680450e+02]
 [-6.99351379e+02  4.60203644e+02]
 [ 1.41323883e+02  4.89060638e+02]
 [-6.87246765e+02  4.58908234e+02]
 [-4.56251892e+02  4.95153839e+02]
 [-7.53064026e+02  4.71065094e+02]
 [-8.94529419e+02  4.65474670e+02]
 [-1.19344104e+03  4.87361786e+02]
 [-7.93219971e+02  4.59933838e+02]
 [-1.07382642e+03  4.76829956e+02]
 [-1.10326587e+03  4.82632935e+02]
 [-1.20206128e+03  5.00595490e+02]
 [-1.58559192e+03  5.10446350e+02]
 [ 4.28082611e+02  4.87895325e+02]
 [-7.94829529e+02  4.60766388e+02]
 [ 2.95701675e+01  4.63797516e+02]
 [-1.73086511e+03  5.08794037e+02]
 [-7.32423401e+02  4.65665894e+02]
 [ 4.87266960e+01  4.74674072e+02]
 [-6.07416931e+02  4.54253784e+02]
 [-1.31581238e+03  4.93071869e+02]
 [-1.75335132e+03  5.13151550e+02]
 [-1.24852173e+03  4.91001617e+02]
 [-1.54516418e+02  4.53737244e+02]
 [-1.24750964e+03  4.93140259e+02]
 [-1.28059924e+03  4.90996307e+02]
 [ 7.83345795e+01  4.82087738e+02]
 [-1.08451233e+03  4.84971710e+02]
 [-1.05334119e+03  4.90772858e+02]
 [-7.29403687e+01  4.51739258e+02]
 [ 1.72607224e+02  4.79382172e+02]
 [-1.12557300e+03  4.81681396e+02]
 [-8.92784119e+02  4.64983521e+02]
 [-7.13130493e+02  4.78485901e+02]
 [-6.31769226e+02  4.59504120e+02]
 [-1.35500940e+03  4.95034882e+02]
 [-6.55806885e+02  4.85437225e+02]
 [-1.59889709e+03  4.99379791e+02]
 [-7.55294250e+02  4.59084930e+02]
 [-7.98078079e+01  4.93234406e+02]
 [-9.05142273e+02  4.60577911e+02]
 [-1.54873340e+03  5.12632874e+02]
 [-2.76833344e+01  4.74636444e+02]
 [-1.52760352e+03  4.97263733e+02]
 [ 7.08526688e+01  4.98737976e+02]
 [ 3.56220627e+00  5.02292969e+02]
 [ 9.64196968e+00  4.55941223e+02]
 [-9.70005554e+02  4.69050446e+02]
 [-6.77319336e+02  4.89267822e+02]
 [-1.11982422e+03  4.88131927e+02]
 [-8.61781128e+02  4.57330902e+02]
 [ 8.20120544e+01  4.81377625e+02]
 [-7.16875610e+01  4.79114746e+02]
 [-1.19229431e+03  5.04080994e+02]
 [-1.41831055e+02  4.88347229e+02]
 [-4.13950836e+02  4.59911926e+02]
 [-9.88184204e+02  4.68436890e+02]
 [-3.40943756e+01  4.60374786e+02]
 [ 9.04946518e+01  4.81005493e+02]
 [-1.36678333e+03  4.91886536e+02]
 [-5.26072327e+02  4.61164246e+02]
 [-7.13691833e+02  4.55816986e+02]
 [-1.49588037e+03  5.05758545e+02]
 [-5.50473083e+02  4.74842529e+02]
 [-2.50154449e+02  4.53075104e+02]
 [-4.90101929e+02  4.61433228e+02]
 [-1.77244128e+03  4.97180939e+02]
 [-1.45614160e+03  4.90417175e+02]
 [-5.98312927e+02  4.59711090e+02]
 [-1.25015662e+03  4.92332794e+02]
 [-6.28826538e+02  4.62416534e+02]
 [-7.74673462e+02  4.73113373e+02]
 [-1.06123987e+03  4.82065369e+02]
 [-5.65494690e+02  4.60719116e+02]
 [-5.86607483e+02  4.66808167e+02]
 [-5.30305542e+02  4.54974152e+02]
 [ 1.35443592e+00  4.97990509e+02]
 [-9.98057312e+02  4.62139099e+02]
 [-8.43527771e+02  4.66137360e+02]
 [-7.81311188e+01  4.55632416e+02]
 [-2.00778473e+02  5.00937592e+02]
 [ 7.04057236e+01  5.01522888e+02]
 [ 1.03053925e+02  4.86350586e+02]
 [-1.69981848e+03  5.11066589e+02]
 [ 4.44917206e+02  4.76879456e+02]
 [ 4.53099709e+01  4.86628998e+02]
 [-1.01784167e+03  4.88445190e+02]
 [-8.20860962e+02  4.59808868e+02]
 [-6.92160339e+02  4.61591522e+02]
 [-5.64434570e+02  4.56694855e+02]
 [-8.89108704e+02  4.60208527e+02]
 [ 4.58852463e+01  5.01644348e+02]
 [-1.38177309e+01  4.54105560e+02]
 [-1.49401880e+03  4.95572876e+02]
 [-1.55668250e+03  4.98627502e+02]
 [-9.48237976e+02  4.88268005e+02]
 [-1.31386633e+01  4.53080475e+02]
 [ 2.78374863e+01  4.81348694e+02]
 [-8.65605469e+02  4.81142334e+02]
 [-2.07059097e+02  4.54684479e+02]
 [-2.89928375e+02  4.51698730e+02]
 [-6.55766449e+01  4.87600830e+02]
 [-7.43008362e+02  4.77247955e+02]
 [-1.20414136e+03  4.93424011e+02]
 [-5.93469360e+02  4.56249146e+02]
 [-9.40965027e+02  4.79781433e+02]
 [ 1.21452169e+01  4.80381714e+02]
 [-1.11617944e+03  4.87360596e+02]
 [-1.30503308e+03  4.97522491e+02]
 [-6.97131836e+02  4.58892456e+02]
 [-1.34077673e+03  4.81351715e+02]
 [-1.38307739e+03  5.00551666e+02]
 [-8.95984070e+02  4.82336395e+02]
 [-1.05325439e+03  4.82106598e+02]
 [-6.27363770e+02  4.60765808e+02]
 [ 7.43271484e+01  4.65035645e+02]
 [-1.13142006e+02  4.55223328e+02]
 [-3.42431061e+02  4.53123413e+02]
 [-6.80894958e+02  4.60250153e+02]
 [-1.02549316e+03  4.87369751e+02]
 [-1.22844528e+02  4.75737122e+02]
 [ 2.15918274e+02  4.75558228e+02]
 [-1.35249341e+00  4.71769684e+02]
 [-6.68378677e+01  4.72015320e+02]
 [-5.21229675e+02  4.54436951e+02]
 [-5.09763756e+01  4.76597687e+02]
 [-1.96388016e+01  4.74576294e+02]
 [ 2.43873917e+02  4.83894989e+02]
 [-2.76977844e+02  4.56999939e+02]
 [-5.93383118e+02  4.65052887e+02]
 [-1.34649915e+03  4.94360870e+02]
 [ 1.70202728e+02  4.77525574e+02]
 [-8.29762085e+02  4.58141022e+02]
 [-1.41876358e+02  4.87532959e+02]
 [-2.24037186e+02  4.52926300e+02]
 [-9.00555298e+02  4.72390045e+02]
 [-5.33675964e+02  4.57210846e+02]
 [-1.28062708e+03  4.91072662e+02]
 [ 9.15184860e+01  4.88552185e+02]
 [-1.52624954e+02  4.65587097e+02]
 [-1.44869885e+03  4.83860077e+02]
 [-6.29384277e+02  4.60672852e+02]
 [-7.73323975e+02  4.60821106e+02]
 [-3.11993011e+02  4.51765442e+02]
 [-1.18123376e+03  4.90891846e+02]
 [-1.42004114e+03  4.96554108e+02]
 [-1.03348596e+03  4.85277435e+02]
 [-1.45154272e+03  5.09057648e+02]
 [-6.53557816e+01  4.77067627e+02]
 [-2.40032700e+02  4.57700775e+02]
 [-6.70753860e+01  4.97721619e+02]
 [-5.21433044e+02  4.74369843e+02]
 [-3.74477539e+02  4.59756378e+02]
 [-3.92616539e+01  4.53378998e+02]
 [-6.22929871e+02  4.59061737e+02]
 [ 3.69418221e+01  4.90342529e+02]
 [-1.42098926e+03  4.92412659e+02]
 [-2.38295212e+02  4.53657227e+02]
 [-1.03111853e+03  4.73235565e+02]
 [-9.78728027e+02  4.76030548e+02]
 [-4.11285034e+02  4.56537872e+02]
 [-2.73199921e+01  4.56829132e+02]
 [-1.05339722e+03  4.67849487e+02]
 [-9.62461670e+02  4.92916077e+02]
 [-3.12570862e+02  4.60467651e+02]
 [-1.44129614e+03  4.95264099e+02]
 [-1.43258545e+02  4.66217804e+02]
 [-6.48038391e+02  4.59184235e+02]
 [-5.72561264e+01  4.74030731e+02]
 [-1.44995975e+01  4.79044800e+02]
 [-5.04531189e+02  4.57788422e+02]
 [-1.31862927e+03  4.86093170e+02]
 [ 8.03138199e+01  4.86149475e+02]
 [-5.45022392e+01  4.87972839e+02]
 [-1.06039917e+03  4.81833862e+02]
 [-6.79543091e+02  4.77142059e+02]
 [-1.14530322e+03  4.81791016e+02]
 [-2.65143280e+01  4.96268494e+02]
 [-1.17279716e+02  4.99951141e+02]
 [-9.07563538e+02  4.78861115e+02]
 [-6.83186340e+01  4.92457001e+02]
 [-1.19576607e+02  4.75030609e+02]
 [-1.78216553e+02  4.78917206e+02]
 [ 7.41430969e+01  4.95952301e+02]
 [-1.80902924e+02  4.62875793e+02]
 [-9.50569641e+02  4.70656250e+02]
 [ 1.86050354e+02  4.96028656e+02]
 [ 3.11001110e+01  4.92077118e+02]
 [-2.72688202e+02  4.96340698e+02]
 [-1.47208972e+03  4.98254211e+02]
 [-8.50742432e+02  4.74589813e+02]
 [-3.45650940e+02  4.90906769e+02]
 [-1.43464319e+03  4.96523560e+02]
 [ 1.53855392e+02  4.86613770e+02]
 [ 2.83832226e+01  4.93998016e+02]
 [-1.12688454e+02  4.97548431e+02]
 [-1.26930200e+03  4.90398743e+02]
 [-8.91412125e+01  5.25976624e+02]
 [ 5.77314491e+01  4.95233490e+02]
 [-7.01061584e+02  4.64197540e+02]
 [-1.20718884e+03  4.85900879e+02]
 [-8.35006409e+02  4.80326233e+02]
 [-2.83064880e+02  4.95035126e+02]
 [ 8.18420506e+00  4.93344757e+02]
 [-7.08985596e+02  4.64056732e+02]
 [ 6.81722641e+01  4.86869751e+02]
 [-5.38199890e+02  4.61795166e+02]
 [-7.84481750e+02  4.60386047e+02]
 [-4.99567322e+02  4.76479279e+02]
 [-2.15845245e+02  5.04927673e+02]
 [-1.04352319e+03  4.66959015e+02]
 [ 8.75384598e+01  5.06226105e+02]
 [-1.46680450e+02  4.69934753e+02]
 [-1.10065698e+03  4.80448639e+02]
 [-3.23523773e+02  4.95953094e+02]
 [ 1.57889755e+02  4.68046783e+02]
 [-8.29094849e+02  4.82071991e+02]
 [-9.73765198e+02  4.67590729e+02]
 [-3.85758476e+01  4.59842346e+02]
 [-1.09625195e+03  4.86925049e+02]
 [ 2.06840210e+02  4.92500000e+02]
 [ 7.64446945e+01  4.84655823e+02]
 [-3.76535980e+02  5.06893250e+02]
 [-1.19224152e+02  4.97047455e+02]
 [-9.25422955e+00  4.96134247e+02]
 [ 5.63999825e+01  4.96307129e+02]
 [-1.47723132e+03  4.96586090e+02]
 [-3.45697289e+01  4.78862274e+02]
 [ 3.50175781e+01  4.88800751e+02]
 [-1.74364033e+01  4.84421509e+02]
 [ 4.69361019e+00  5.02629944e+02]
 [-1.09114845e+02  4.93417511e+02]
 [-5.39558144e+01  4.90385040e+02]
 [ 2.74370785e+01  4.94214203e+02]
 [-1.14938635e+03  4.98630646e+02]
 [-1.56427539e+03  5.01526672e+02]
 [-5.54407501e+01  4.75855896e+02]
 [-7.04603394e+02  4.61974487e+02]
 [-3.82247276e+01  4.73293640e+02]
 [ 8.35139542e+01  4.93429718e+02]
 [-2.38475250e+02  5.22156433e+02]
 [-4.69379639e+02  4.63521149e+02]
 [-2.70684296e+02  4.90737976e+02]
 [-2.86617188e+02  4.85546082e+02]
 [-2.38681122e+02  4.90738220e+02]
 [-9.50330750e+02  4.78466827e+02]
 [-1.30880652e+03  4.90952942e+02]
 [-1.33508655e+03  5.05168579e+02]
 [ 1.94670506e+01  5.01986389e+02]
 [-3.98828888e+01  4.90991180e+02]
 [-7.99953674e+02  4.61883972e+02]
 [-2.47778244e+02  4.80194000e+02]
 [ 8.15686722e+01  5.04153473e+02]
 [-2.39088440e+02  4.79073608e+02]
 [ 1.51545547e+02  4.94411346e+02]
 [ 1.19835617e+02  4.96313049e+02]
 [-1.18376770e+03  4.96539307e+02]
 [-5.14204468e+02  4.72430664e+02]
