fitness: [[ 9.22748184e+00  4.93106445e+02]
 [-1.46377563e+03  4.95114258e+02]
 [-8.09875916e+02  4.68494995e+02]
 [ 1.54917419e+02  4.87511414e+02]
 [-7.25558167e+02  4.65517426e+02]
 [-1.00996368e+03  4.83774567e+02]
 [ 8.64472809e+01  4.94870850e+02]
 [-1.56855188e+03  4.97401276e+02]
 [-1.11866064e+03  4.94313965e+02]
 [-7.90612366e+02  4.60730652e+02]
 [-7.81728638e+02  4.66498718e+02]
 [-1.45202194e+02  4.96555359e+02]
 [-1.81480188e+03  4.99407379e+02]
 [-7.52154053e+02  4.66524231e+02]
 [-1.42551193e+02  4.91937347e+02]
 [-1.61800208e+03  5.03801025e+02]
 [-1.49385718e+03  4.97218109e+02]
 [-9.16775269e+02  4.79236603e+02]
 [-3.81416718e+02  4.52053284e+02]
 [-1.03640088e+03  4.88386841e+02]
 [-5.28868408e+02  4.77560364e+02]
 [-1.40030627e+03  4.98359802e+02]
 [-1.10699072e+03  5.01799225e+02]
 [-4.60032806e+02  4.65411743e+02]
 [ 3.41187134e+01  4.91685150e+02]
 [-5.40650330e+02  4.58822388e+02]
 [-5.85439270e+02  4.53095703e+02]
 [-4.48270081e+02  4.55335205e+02]
 [-1.18359509e+03  4.76293732e+02]
 [ 1.80057106e+01  4.94487671e+02]
 [-1.22998633e+03  4.95239929e+02]
 [-6.86619873e+02  4.80057983e+02]
 [-1.84847095e+03  5.03141083e+02]
 [-4.97586395e+02  4.60303986e+02]
 [-2.69699860e+02  4.57520111e+02]
 [-1.07660681e+03  4.76651917e+02]
 [-1.50367939e+00  4.62412109e+02]
 [-4.87044373e+02  4.60529205e+02]
 [-6.67957275e+02  4.56845520e+02]
 [-1.84269371e+01  4.53920959e+02]
 [ 1.22762623e+01  4.74853943e+02]
 [-8.83776779e+01  4.93370544e+02]
 [-7.90892151e+02  4.61710052e+02]
 [-4.03945198e+01  4.84443054e+02]
 [-7.46158142e+02  4.55878418e+02]
 [-6.08796326e+02  4.58445282e+02]
 [-3.30923653e+01  4.58664642e+02]
 [-1.86015121e+02  4.88453552e+02]
 [-4.77720795e+02  4.58994019e+02]
 [ 1.08709244e+02  4.66639709e+02]
 [-7.03552856e+02  4.69488129e+02]
 [-1.44490430e+03  4.92846405e+02]
 [-1.55088989e+03  5.00351685e+02]
