fitness: [[ 1.12547920e+02  4.78693115e+02]
 [-4.15016670e+01  4.63945984e+02]
 [-7.17509521e+02  4.64857056e+02]
 [ 1.31395599e+02  4.72032745e+02]
 [-9.67654297e+02  4.97617371e+02]
 [-6.30436707e+02  4.74271912e+02]
 [-8.81452942e+02  4.75119568e+02]
 [-6.93013306e+02  5.05552490e+02]
 [-2.66017761e+02  4.62320343e+02]
 [-7.50789062e+02  4.78991943e+02]
 [-1.40039185e+03  5.05159637e+02]
 [ 1.83417267e+02  4.81381073e+02]
 [-2.44298386e+02  5.12799683e+02]
 [-5.96023499e+02  4.73347351e+02]
 [-1.04162268e+03  4.86187622e+02]
 [-1.11799084e+03  5.08190674e+02]
 [-6.83598450e+02  4.78254547e+02]
 [-1.16864893e+03  4.93427399e+02]
 [ 7.73127747e+01  4.73052765e+02]
 [-8.24091064e+02  4.78214966e+02]
 [-1.42073596e+03  5.03944244e+02]
 [-1.07071838e+03  5.00202179e+02]
 [-8.51148315e+02  4.73786774e+02]
 [-1.12623413e+03  4.89032349e+02]
 [ 4.76905327e+01  5.04313782e+02]
 [-6.76137451e+02  4.68589447e+02]
 [-3.14350006e+02  4.60645172e+02]
 [-1.36209122e+02  4.59990295e+02]
 [ 4.04244728e+01  4.88950592e+02]
 [-1.26665222e+03  5.04771851e+02]
 [-5.63129425e+01  4.84368439e+02]
 [-1.90674572e+01  4.76408203e+02]
 [-1.27595239e+03  5.04911621e+02]
 [-6.86531189e+02  4.85887512e+02]
 [ 2.09310196e+02  4.72473633e+02]
 [ 8.63481293e+01  4.69107361e+02]
 [-6.06194641e+02  4.77903992e+02]
 [-2.71826233e+02  4.73074860e+02]
 [-4.69939728e+02  4.74124359e+02]
 [ 4.04964714e+01  4.87373901e+02]
 [-6.53899231e+02  4.68509949e+02]
 [ 9.32084961e+01  4.72734772e+02]
 [ 1.18914764e+02  4.93335632e+02]
 [-4.29048676e+02  4.65757324e+02]
 [-7.98332275e+02  4.80755554e+02]
 [-1.12362280e+03  5.02342560e+02]
 [-4.41294365e+01  5.00905518e+02]
 [-2.64409607e+02  4.66881012e+02]
 [-1.42154065e+03  5.11786713e+02]
 [ 2.01476196e+02  4.82862213e+02]
 [-6.88735352e+02  4.86924530e+02]
 [-9.01927551e+02  4.80550537e+02]
 [ 3.87762871e+01  4.67225586e+02]
 [-4.60014496e+02  5.09989319e+02]
 [ 1.50229263e+02  4.97926239e+02]
 [ 2.09154373e+02  4.93271118e+02]
 [ 3.04379234e+01  5.00424622e+02]
 [-6.61225342e+02  4.76084473e+02]
 [-2.06881123e+01  4.59443024e+02]
 [ 1.65840359e+01  5.06100433e+02]
 [ 1.07176643e+02  4.76825287e+02]
 [-2.03935075e+00  4.96661926e+02]
 [-9.04424561e+02  4.80452728e+02]
 [ 8.86535416e+01  4.76055481e+02]
 [-1.78285961e+01  4.76190308e+02]
 [ 7.35624542e+01  4.78763947e+02]
 [-6.45090393e+02  4.76817291e+02]
 [-9.94736511e+02  4.79259521e+02]
 [-4.36293365e+02  4.71971405e+02]
 [-6.32515015e+02  4.70847992e+02]
 [ 1.33687561e+02  4.90505890e+02]
 [-1.22545288e+03  5.07725372e+02]
 [-1.18608276e+03  4.93844971e+02]
 [-1.00381332e+02  4.97005249e+02]
 [-3.60954315e+02  4.73561096e+02]
 [ 4.86676788e+01  4.93088287e+02]
 [ 1.41905413e+01  4.73928070e+02]
 [-6.87755554e+02  5.06882874e+02]
 [-2.49216919e+02  4.64554596e+02]
 [-3.30542847e+02  4.63111420e+02]
 [-2.08044708e+02  4.93545380e+02]
 [-9.40201538e+02  4.92756805e+02]
 [-7.99837097e+02  4.86557861e+02]
 [-7.02041382e+02  4.69844208e+02]
 [ 1.52950478e+00  4.65525696e+02]
 [-7.05291214e+01  4.72552979e+02]
 [-7.62898865e+02  4.78174469e+02]
 [-1.95495972e+02  5.12060486e+02]
 [-5.63436401e+02  4.74987732e+02]
 [-4.78303719e+01  4.90127472e+02]
 [-2.23689026e+02  4.78576080e+02]
 [-1.42373398e+02  4.61813232e+02]
 [-3.07579102e+02  4.59261261e+02]
 [-1.95208740e+02  4.61671143e+02]
 [-7.87468445e+02  4.72992188e+02]
 [-5.45453796e+02  4.68073273e+02]
 [-1.68623611e+02  4.86201416e+02]
 [-1.88198578e+02  4.89806946e+02]
 [-4.08211853e+02  4.71742218e+02]
 [-5.99831421e+02  4.69312622e+02]
 [ 2.25157089e+02  4.99652435e+02]
 [-1.11829895e+03  5.04087036e+02]
 [-7.65954895e+02  4.73418518e+02]
 [-6.02468567e+02  4.70882721e+02]
 [-5.81190369e+02  4.72056122e+02]
 [ 1.14716469e+02  4.93938782e+02]
 [-6.61774658e+02  4.95059723e+02]
 [-1.27685437e+03  5.00887848e+02]
 [-1.20846143e+03  5.13463440e+02]
 [-8.37625809e+01  4.63996368e+02]
 [-6.33203064e+02  4.67256470e+02]
 [-7.23586487e+02  4.69082550e+02]
 [-1.03073926e+03  4.91057770e+02]
 [-7.10200500e+02  4.72205048e+02]
 [ 1.50171448e+02  4.81666321e+02]
 [-4.55335907e+02  4.71750366e+02]
 [ 1.34884615e+01  4.64755249e+02]
 [-4.61548615e+01  4.59451660e+02]
 [-1.08648523e+03  4.90116150e+02]
 [-1.14390419e+02  5.07586853e+02]
 [ 4.06372795e+01  4.65446075e+02]
 [-4.08895233e+02  4.71965271e+02]
 [-1.47985062e+02  4.87328888e+02]
 [-5.30495667e+02  4.70403687e+02]
 [-2.88381958e+02  4.63399536e+02]
 [-6.73231628e+02  4.73249115e+02]
 [-2.24786957e+02  4.59843903e+02]
 [ 2.02158798e+02  4.77705688e+02]
 [-1.60820068e+02  4.62708771e+02]
 [-5.21613770e+02  4.65138794e+02]
 [-1.03496777e+03  4.88636719e+02]
 [-1.25034351e+03  5.02291168e+02]
 [-3.73575836e+02  4.64618988e+02]
 [ 1.21661552e+02  4.93981293e+02]
 [-8.92161499e+02  4.78773987e+02]
 [-9.88258606e+02  5.07515930e+02]
 [-4.92087891e+02  4.70324707e+02]
 [ 8.77873611e+01  4.78667297e+02]
 [-5.81483507e+00  4.73880524e+02]
 [-7.23437195e+02  4.75070465e+02]
 [ 1.57152603e+02  4.90616730e+02]
 [ 8.04732437e+01  4.92804718e+02]
 [-2.84803314e+02  4.98945709e+02]
 [ 4.05313606e+01  4.77914948e+02]
 [-8.22882538e+01  4.98418182e+02]
 [-9.57498535e+02  5.02214325e+02]
 [-7.32311401e+01  4.82998657e+02]
 [-4.40023727e+01  4.60109955e+02]
 [-1.41405899e+02  4.78064117e+02]
