fitness: [[ 3.37262421e+01  4.75191559e+02]
 [-1.02406213e+03  4.77026947e+02]
 [-7.83427917e+02  4.59443237e+02]
 [ 3.08648285e+02  5.02854889e+02]
 [ 3.27394176e+00  4.88629303e+02]
 [ 2.45620537e+01  4.87457397e+02]
 [ 7.93988342e+01  4.74156677e+02]
 [-9.66342590e+02  4.87031158e+02]
 [-1.44687573e+03  5.04784576e+02]
 [-3.62285126e+02  4.60155029e+02]
 [-1.09174365e+03  4.97969482e+02]
 [-4.00562073e+02  4.58098999e+02]
 [-4.06510590e+02  4.85846527e+02]
 [-8.16728210e+02  4.82024170e+02]
 [ 7.31925888e+01  4.90896973e+02]
 [ 4.21421623e+01  5.05431335e+02]
 [-1.33545239e+03  5.06985321e+02]
 [-6.35044617e+02  4.85697723e+02]
 [-1.03762891e+03  4.80732269e+02]
 [-8.71915344e+02  4.64575958e+02]
 [-5.93843567e+02  4.66672028e+02]
 [-8.44947998e+02  4.70905304e+02]
 [-1.03798714e+02  4.91868225e+02]
 [-2.78817024e+01  4.50674866e+02]
 [-2.82217834e+02  4.61146606e+02]
 [-9.35039185e+02  4.88728790e+02]
 [-1.38723047e+03  5.01104065e+02]
 [-6.55509583e+02  4.57896454e+02]
 [ 8.06688385e+01  4.93373260e+02]
 [-8.53325439e+02  4.75659424e+02]
 [-9.47937378e+02  4.73151215e+02]
 [-6.50941162e+02  4.60161621e+02]
 [-2.40196228e+02  4.54016083e+02]
 [-1.40294519e+03  5.05201782e+02]
 [ 7.25294399e+00  4.86715210e+02]
 [-9.45643799e+02  4.78481964e+02]
 [ 4.13616409e+01  4.97749817e+02]
 [-3.40468201e+02  4.51818085e+02]
 [ 1.15840240e+02  4.93957672e+02]
 [ 9.63624573e+00  4.55111908e+02]
 [-3.13877625e+02  4.55764862e+02]
 [ 6.43119583e+01  4.81903198e+02]
 [-2.98084106e+01  4.67982208e+02]
 [-7.81677612e+02  4.69027252e+02]
 [ 2.06934605e+01  4.78488739e+02]
 [-6.58298279e+02  4.74817139e+02]
 [-7.41579224e+02  4.61061279e+02]
 [-1.10599731e+03  4.84827301e+02]
 [ 4.01385021e+00  4.69873352e+02]
 [ 3.04601624e+02  4.73593781e+02]
 [-3.37693291e+01  4.79951294e+02]
 [-1.14831128e+03  4.84941650e+02]
 [ 8.41167297e+01  4.52955261e+02]
 [-6.01129211e+02  4.56448517e+02]
 [-5.62262154e+01  4.77805023e+02]
 [-1.43778168e+02  4.54640381e+02]
 [-1.03161511e+03  4.83132599e+02]
 [-9.68918762e+01  4.68725800e+02]
 [-7.39877930e+02  4.59942230e+02]
 [-7.27049194e+02  4.77730499e+02]
 [-4.74293762e+02  4.63474152e+02]
 [-6.37346497e+02  4.68680237e+02]
 [-5.40230713e+02  4.59871582e+02]
 [ 2.74091778e+01  5.02107025e+02]
