it: 52, min: -362.8341369628906, max: -350.35198974609375, mean: -357.038818359375, var: 5.525014400482178, global_min: -363.098388671875
it: 53, min: -362.58697509765625, max: -351.6151123046875, mean: -357.2585144042969, var: 4.9001688957214355, global_min: -363.098388671875
it: 54, min: -362.9185791015625, max: -350.3354797363281, mean: -357.05950927734375, var: 4.880777835845947, global_min: -363.098388671875
it: 55, min: -362.5721740722656, max: -350.2328186035156, mean: -357.2013244628906, var: 5.098503112792969, global_min: -363.098388671875
it: 56, min: -363.0601501464844, max: -348.8515930175781, mean: -357.2625427246094, var: 5.033204555511475, global_min: -363.098388671875
it: 57, min: -363.2431335449219, max: -350.1291809082031, mean: -357.2568359375, var: 4.92140007019043, global_min: -363.2431335449219
it: 58, min: -362.8894958496094, max: -349.53997802734375, mean: -357.2423095703125, var: 5.543488025665283, global_min: -363.2431335449219
it: 59, min: -362.7648620605469, max: -348.69769287109375, mean: -357.3005065917969, var: 5.32566499710083, global_min: -363.2431335449219
it: 60, min: -362.6015625, max: -348.5912780761719, mean: -357.3586120605469, var: 5.424733638763428, global_min: -363.2431335449219
it: 61, min: -363.07025146484375, max: -351.9453125, mean: -357.3263244628906, var: 4.46723747253418, global_min: -363.2431335449219
it: 62, min: -361.90545654296875, max: -350.728271484375, mean: -357.4020690917969, var: 4.072882652282715, global_min: -363.2431335449219
it: 63, min: -362.5681457519531, max: -351.1246032714844, mean: -357.29150390625, var: 4.715447902679443, global_min: -363.2431335449219
it: 64, min: -363.240234375, max: -351.45025634765625, mean: -357.4474182128906, var: 4.435048580169678, global_min: -363.2431335449219
it: 65, min: -362.3525085449219, max: -350.41864013671875, mean: -357.3624267578125, var: 4.941932678222656, global_min: -363.2431335449219
it: 66, min: -363.21026611328125, max: -352.30621337890625, mean: -357.4167785644531, var: 4.473264217376709, global_min: -363.2431335449219
it: 67, min: -362.8924560546875, max: -351.9693908691406, mean: -357.2003173828125, var: 4.357539653778076, global_min: -363.2431335449219
it: 68, min: -362.14605712890625, max: -352.02911376953125, mean: -357.5614013671875, var: 4.975594997406006, global_min: -363.2431335449219
it: 69, min: -361.7344665527344, max: -351.15887451171875, mean: -357.34417724609375, var: 4.298779010772705, global_min: -363.2431335449219
it: 70, min: -362.6049499511719, max: -352.383544921875, mean: -357.5559997558594, var: 4.041351318359375, global_min: -363.2431335449219
it: 71, min: -362.8517150878906, max: -352.0384216308594, mean: -357.72357177734375, var: 4.75972318649292, global_min: -363.2431335449219
it: 72, min: -362.6874084472656, max: -351.2037658691406, mean: -357.65643310546875, var: 4.643310070037842, global_min: -363.2431335449219
it: 73, min: -363.03741455078125, max: -351.7909240722656, mean: -357.8893127441406, var: 4.745135307312012, global_min: -363.2431335449219
it: 74, min: -362.9609680175781, max: -347.9978942871094, mean: -357.9653015136719, var: 5.330610275268555, global_min: -363.2431335449219
it: 75, min: -363.62908935546875, max: -352.205810546875, mean: -357.9053039550781, var: 5.110034465789795, global_min: -363.62908935546875
it: 76, min: -363.4069519042969, max: -350.4078063964844, mean: -358.0342102050781, var: 5.212615966796875, global_min: -363.62908935546875
it: 77, min: -363.6603088378906, max: -349.71435546875, mean: -357.9621887207031, var: 6.36964225769043, global_min: -363.6603088378906
it: 78, min: -362.6430358886719, max: -349.2647399902344, mean: -357.51129150390625, var: 5.90199089050293, global_min: -363.6603088378906
it: 79, min: -363.61175537109375, max: -349.8095703125, mean: -357.8099060058594, var: 5.790887355804443, global_min: -363.6603088378906
it: 80, min: -363.0310363769531, max: -350.48016357421875, mean: -357.7574157714844, var: 5.61724328994751, global_min: -363.6603088378906
it: 81, min: -363.8812255859375, max: -351.5004577636719, mean: -357.7261962890625, var: 5.099505424499512, global_min: -363.8812255859375
it: 82, min: -363.1346740722656, max: -351.04595947265625, mean: -357.9383544921875, var: 5.446002006530762, global_min: -363.8812255859375
it: 83, min: -363.4223327636719, max: -352.540771484375, mean: -357.8947448730469, var: 5.564903259277344, global_min: -363.8812255859375
it: 84, min: -363.6862487792969, max: -352.58270263671875, mean: -357.9802551269531, var: 5.82163143157959, global_min: -363.8812255859375
it: 85, min: -363.7874450683594, max: -350.72454833984375, mean: -357.74554443359375, var: 6.146295070648193, global_min: -363.8812255859375
it: 86, min: -363.55419921875, max: -350.81182861328125, mean: -357.6078186035156, var: 5.340281963348389, global_min: -363.8812255859375
it: 87, min: -363.2247009277344, max: -349.82843017578125, mean: -357.822998046875, var: 5.485670566558838, global_min: -363.8812255859375
it: 88, min: -363.9459228515625, max: -351.3529968261719, mean: -357.7408447265625, var: 6.021616458892822, global_min: -363.9459228515625
it: 89, min: -363.8536682128906, max: -351.6874084472656, mean: -357.981201171875, var: 5.258830547332764, global_min: -363.9459228515625
it: 90, min: -363.5091247558594, max: -351.5866394042969, mean: -357.8699951171875, var: 5.425203800201416, global_min: -363.9459228515625
it: 91, min: -363.75628662109375, max: -351.52587890625, mean: -357.7998352050781, var: 5.711586952209473, global_min: -363.9459228515625
it: 92, min: -364.1564025878906, max: -350.52288818359375, mean: -358.0788879394531, var: 6.106485366821289, global_min: -364.1564025878906
it: 93, min: -363.7448425292969, max: -350.40618896484375, mean: -357.8203125, var: 5.135975360870361, global_min: -364.1564025878906
it: 94, min: -363.1831970214844, max: -349.2811584472656, mean: -357.6544189453125, var: 5.715559005737305, global_min: -364.1564025878906
