fitness: [[ 2.40461407e+01  4.89182465e+02]
 [ 7.50995712e+01  4.78517700e+02]
 [-1.66925647e+03  5.10701538e+02]
 [-6.70745850e+02  4.73316864e+02]
 [-1.97879791e+02  4.60460083e+02]
 [-1.43996368e+02  4.60499451e+02]
 [-1.02036278e+02  4.73332977e+02]
 [-2.06190701e+01  4.77592194e+02]
 [-3.69723964e+00  4.76458618e+02]
 [-9.16923218e+02  4.89235382e+02]
 [ 5.47658424e+01  4.71795776e+02]
 [-9.56964600e+02  4.91116364e+02]
 [ 1.40930908e+02  4.82728333e+02]
 [-8.54550110e+02  4.96628754e+02]
 [-7.55056091e+02  4.73738312e+02]
 [ 2.18618729e+02  4.84331482e+02]
 [-1.00664398e+03  4.92732391e+02]
 [ 1.33716827e+02  4.70803528e+02]
 [-6.25503601e+02  4.73080872e+02]
 [-2.58269226e+02  5.02709229e+02]
 [-1.35114317e+01  4.63403931e+02]
 [-1.27487305e+03  5.11179443e+02]
 [-3.71362000e+02  4.62123016e+02]
 [-5.94778625e+02  4.70863892e+02]
 [-7.58074158e+02  4.74894958e+02]
 [-6.51747681e+02  4.73578644e+02]
 [ 5.58560638e+01  4.93901611e+02]
 [-1.79143280e+02  4.63141113e+02]
 [-4.31224396e+02  4.75046478e+02]
 [-3.09423431e+02  4.90422485e+02]
 [-8.39027283e+02  4.88400909e+02]
 [-1.37452991e+03  5.15608643e+02]
 [-7.47408875e+02  4.77177216e+02]
 [-6.92236267e+02  4.78149902e+02]
 [ 1.63971542e+02  4.83489594e+02]
 [-2.48348145e+02  4.62064178e+02]
 [ 6.44551010e+01  5.02129303e+02]
 [-1.00716962e+03  4.92231354e+02]
 [-5.97451538e+02  4.73686218e+02]
 [-1.38476151e+02  4.95742218e+02]
 [-3.45239983e+01  4.75386688e+02]
 [-1.12936646e+03  5.08607147e+02]
 [ 1.56985489e+02  4.73579926e+02]
 [-8.78655029e+02  4.72825470e+02]
 [ 9.46813464e-01  4.99021667e+02]
 [ 8.96136093e+01  4.80728760e+02]
 [-8.32932678e+02  4.87592651e+02]
 [-6.96104126e+02  4.76806641e+02]
 [-6.85115845e+02  4.72352417e+02]
 [ 7.64360809e+01  4.77865570e+02]
 [-2.56330475e+02  4.76922455e+02]
 [-4.13365173e+02  4.74271637e+02]
 [-2.93365383e+01  4.68407013e+02]
 [ 3.68641205e+02  4.71714722e+02]
 [-2.30027771e+01  4.77299011e+02]
 [-5.36599182e+02  4.72595184e+02]
 [ 5.69627724e+01  4.82403992e+02]
 [-1.14142126e+03  4.93570923e+02]
 [-1.04057715e+03  4.89423492e+02]
 [-5.68668556e+01  4.75405273e+02]
 [ 7.87433014e+01  4.86129517e+02]
 [-7.19292358e+02  4.70373413e+02]
 [-5.48018921e+02  4.74123901e+02]
 [-9.56413879e+02  4.87298035e+02]
 [-8.66163208e+02  4.79857758e+02]
 [-4.00003815e+02  4.69746613e+02]
 [-1.04795386e+03  4.94623260e+02]
 [-5.84956131e+01  4.78851410e+02]
 [-2.70315308e+02  4.61114624e+02]
 [-1.25613356e+01  4.80360199e+02]
 [-1.60286530e+02  4.98943146e+02]
 [-3.11006714e+02  4.78151245e+02]
 [-1.85571579e+02  4.63437958e+02]
 [-6.03564987e+01  5.02910278e+02]
 [ 2.07976257e+02  4.89843842e+02]
 [-1.06375818e+03  5.10600067e+02]
 [-1.07861792e+03  4.88567780e+02]
 [-1.74243221e+01  4.87992096e+02]
 [-4.58271393e+02  4.69447296e+02]
 [-5.61752625e+02  4.69581940e+02]
 [-8.21776611e+02  4.68479370e+02]
 [-1.02739281e+02  4.75368042e+02]
 [-2.64065495e+01  4.66346863e+02]
 [-5.90783508e+02  4.73604828e+02]
 [-4.55674377e+02  4.71250061e+02]
 [ 4.92238884e+01  4.76539612e+02]
 [-1.39024792e+03  5.11595215e+02]
 [ 7.43025818e+01  4.77409943e+02]
 [-7.39302185e+02  4.70227966e+02]
 [-7.14578186e+02  4.71535950e+02]
 [-1.03440100e+03  4.91528992e+02]
 [-3.52853119e+02  5.04551025e+02]
 [-1.00512720e+03  5.00848297e+02]
 [ 6.05321579e+01  4.80197021e+02]
 [ 8.09477844e+01  4.83978546e+02]
 [-5.44967285e+02  4.76905670e+02]
 [-1.26257007e+03  5.10699280e+02]
 [-1.39891553e+03  5.14003540e+02]
 [ 1.15730568e+02  4.72873505e+02]
 [-8.00142700e+02  4.69797272e+02]
 [-1.07748499e+03  5.13012878e+02]
 [-9.75341034e+01  4.67591278e+02]
 [-6.96543152e+02  4.88437988e+02]
 [-4.51325012e+02  4.71735596e+02]
 [-4.77304901e+02  4.70212738e+02]
 [-8.21598999e+02  4.80631897e+02]
 [-3.50715057e+02  4.61649292e+02]
 [-4.69236908e+01  4.81966553e+02]
 [-3.74316139e+01  4.93146057e+02]
 [-8.85210327e+02  4.90896454e+02]
 [-2.04897003e+02  4.64279663e+02]
 [ 1.30167450e+02  4.84117554e+02]
