it: 53, min: -3342.97216796875, max: 244.60174560546875, mean: -2930.648681640625, var: 513143.5, global_min: -3386.906982421875
it: 54, min: -3374.8388671875, max: 318.8937683105469, mean: -2916.75732421875, var: 614166.375, global_min: -3386.906982421875
it: 55, min: -3371.979736328125, max: 288.1173400878906, mean: -2914.380615234375, var: 619984.0625, global_min: -3386.906982421875
it: 56, min: -3354.513427734375, max: 228.44395446777344, mean: -3016.543701171875, var: 296400.90625, global_min: -3386.906982421875
it: 57, min: -3354.7451171875, max: 180.7301483154297, mean: -2977.651123046875, var: 444987.875, global_min: -3386.906982421875
it: 58, min: -3394.968017578125, max: 145.09898376464844, mean: -3083.369384765625, var: 150627.640625, global_min: -3394.968017578125
it: 59, min: -3411.34033203125, max: 159.61080932617188, mean: -3097.51953125, var: 147536.4375, global_min: -3411.34033203125
it: 60, min: -3436.671875, max: 88.72000122070312, mean: -3097.791259765625, var: 169143.5625, global_min: -3436.671875
it: 61, min: -3462.1630859375, max: 174.3918914794922, mean: -3115.576904296875, var: 228235.25, global_min: -3462.1630859375
it: 62, min: -3484.177978515625, max: 132.57107543945312, mean: -3109.970458984375, var: 230366.109375, global_min: -3484.177978515625
it: 63, min: -3474.857421875, max: 259.96728515625, mean: -3039.408935546875, var: 425130.0625, global_min: -3484.177978515625
it: 64, min: -3481.51171875, max: 56.331146240234375, mean: -3040.5400390625, var: 537348.5625, global_min: -3484.177978515625
it: 65, min: -3510.83984375, max: 434.6076354980469, mean: -3055.072509765625, var: 531500.875, global_min: -3510.83984375
it: 66, min: -3491.242431640625, max: 163.4590606689453, mean: -3091.68359375, var: 434208.90625, global_min: -3510.83984375
it: 67, min: -3482.7705078125, max: 129.53634643554688, mean: -3128.997314453125, var: 387840.03125, global_min: -3510.83984375
it: 68, min: -3497.336669921875, max: 203.26979064941406, mean: -3185.67919921875, var: 231451.3125, global_min: -3510.83984375
it: 69, min: -3510.3017578125, max: 107.46332550048828, mean: -3194.720458984375, var: 236810.109375, global_min: -3510.83984375
it: 70, min: -3544.480224609375, max: 88.76129150390625, mean: -3211.889892578125, var: 130827.9375, global_min: -3544.480224609375
it: 71, min: -3491.265625, max: 112.95832061767578, mean: -3217.545654296875, var: 143336.859375, global_min: -3544.480224609375
it: 72, min: -3517.099853515625, max: 129.76815795898438, mean: -3182.3369140625, var: 336008.71875, global_min: -3544.480224609375
it: 73, min: -3538.9501953125, max: 214.82687377929688, mean: -3205.558349609375, var: 310978.75, global_min: -3544.480224609375
it: 74, min: -3552.712158203125, max: 157.19155883789062, mean: -3194.072998046875, var: 386306.46875, global_min: -3552.712158203125
it: 75, min: -3543.906982421875, max: 143.1480712890625, mean: -3224.245849609375, var: 266308.78125, global_min: -3552.712158203125
it: 76, min: -3560.387939453125, max: 164.07489013671875, mean: -3147.2333984375, var: 427635.1875, global_min: -3560.387939453125
it: 77, min: -3607.16748046875, max: 368.3512878417969, mean: -3198.51513671875, var: 327468.96875, global_min: -3607.16748046875
it: 78, min: -3621.79345703125, max: 270.4588317871094, mean: -3184.97021484375, var: 329262.1875, global_min: -3621.79345703125
it: 79, min: -3647.3994140625, max: 310.0925598144531, mean: -3217.05908203125, var: 283682.125, global_min: -3647.3994140625
it: 80, min: -3633.9697265625, max: 175.7147216796875, mean: -3259.146240234375, var: 189068.03125, global_min: -3647.3994140625
it: 81, min: -3614.20703125, max: 249.2397003173828, mean: -3214.87548828125, var: 294677.125, global_min: -3647.3994140625
it: 82, min: -3618.47607421875, max: 258.67657470703125, mean: -3260.764404296875, var: 270605.4375, global_min: -3647.3994140625
it: 83, min: -3712.360595703125, max: 321.1101989746094, mean: -3288.19091796875, var: 327427.03125, global_min: -3712.360595703125
it: 84, min: -3647.44775390625, max: 361.1392822265625, mean: -3283.443603515625, var: 371831.90625, global_min: -3712.360595703125
it: 85, min: -3697.474365234375, max: 298.55621337890625, mean: -3262.169921875, var: 271454.84375, global_min: -3712.360595703125
it: 86, min: -3685.1513671875, max: 393.114501953125, mean: -3141.247314453125, var: 626673.25, global_min: -3712.360595703125
it: 87, min: -3678.23291015625, max: 477.8082275390625, mean: -3212.325439453125, var: 478737.84375, global_min: -3712.360595703125
it: 88, min: -3694.065673828125, max: 274.6990051269531, mean: -3268.58837890625, var: 233522.828125, global_min: -3712.360595703125
it: 89, min: -3583.541259765625, max: 232.09825134277344, mean: -3282.8427734375, var: 157670.171875, global_min: -3712.360595703125
it: 90, min: -3591.167724609375, max: 351.93994140625, mean: -3203.78515625, var: 370421.75, global_min: -3712.360595703125
it: 91, min: -3616.8017578125, max: 407.8851623535156, mean: -3222.109375, var: 373685.875, global_min: -3712.360595703125
it: 92, min: -3630.87158203125, max: 387.2502136230469, mean: -3295.90673828125, var: 293567.875, global_min: -3712.360595703125
it: 93, min: -3788.27734375, max: 476.02899169921875, mean: -3210.80712890625, var: 505885.65625, global_min: -3788.27734375
it: 94, min: -3796.54248046875, max: 443.8578796386719, mean: -3140.6416015625, var: 586599.8125, global_min: -3796.54248046875
it: 95, min: -3716.765380859375, max: 380.676513671875, mean: -3230.423583984375, var: 440489.15625, global_min: -3796.54248046875
it: 96, min: -3724.63818359375, max: 489.3346252441406, mean: -3271.39404296875, var: 401781.1875, global_min: -3796.54248046875
it: 97, min: -3704.206298828125, max: 474.2477111816406, mean: -3219.833740234375, var: 403690.78125, global_min: -3796.54248046875
