fitness: [[ 1.50685272e+01  4.86253510e+02]
 [-8.54242859e+02  4.81897217e+02]
 [ 7.99029312e+01  4.88493469e+02]
 [-1.35331940e+02  4.95216705e+02]
 [ 4.04070511e+01  4.78188751e+02]
 [-1.02103052e+03  4.76815643e+02]
 [-9.64913147e+02  4.79149933e+02]
 [ 3.70663948e+01  4.52743561e+02]
 [-1.27770007e+03  4.97165161e+02]
 [-4.64739304e+01  4.79017944e+02]
 [-6.35999527e+01  4.78382507e+02]
 [ 1.28829346e+02  4.74689331e+02]
 [-7.52744812e+02  4.60440063e+02]
 [ 8.27458878e+01  4.72939087e+02]
 [ 8.68884964e+01  4.71007629e+02]
 [-1.50772900e+03  4.97530701e+02]
 [-7.88266325e+00  4.83157043e+02]
 [ 2.38881550e+01  4.83854950e+02]
 [ 6.84865189e+01  4.79930084e+02]
 [-8.38747681e+02  4.63782532e+02]
 [-1.19369299e+03  5.00078827e+02]
 [-1.02857068e+03  4.85938293e+02]
 [-6.75986145e+02  4.57766602e+02]
 [-1.39106982e+03  5.02460999e+02]
 [-8.21750244e+02  4.79345459e+02]
 [-2.65043526e+01  4.73172699e+02]
 [-7.15878845e+02  4.70115234e+02]
 [-2.01670952e+01  4.53713928e+02]
 [-1.17222168e+03  4.82922852e+02]
 [-4.26350708e+02  4.58234070e+02]
 [-8.35276855e+02  4.78594849e+02]
 [-2.47116684e+02  4.54219696e+02]
 [-7.38354126e+02  4.61737854e+02]
 [ 1.97428757e+02  4.87537781e+02]
 [-6.31300598e+02  4.61010498e+02]
 [-2.98375869e+00  4.75094635e+02]
 [ 3.33547363e+01  4.98726990e+02]
 [ 1.71827332e+02  4.91716553e+02]
 [-9.12009949e+02  4.80602020e+02]
 [ 1.77147629e+02  4.77621185e+02]
 [-6.82785645e+02  4.64849823e+02]
 [-1.28034949e+03  5.08237274e+02]
 [-2.74296936e+02  4.93220398e+02]
 [-1.02767700e+03  4.75279053e+02]
 [-6.79404053e+02  4.59978943e+02]
 [ 6.37345657e+01  4.78889374e+02]
 [-2.94521301e+02  4.53509766e+02]
 [-1.41097766e+03  4.84890900e+02]
 [-8.88246277e+02  4.79273804e+02]
 [-1.99636429e+02  4.87903381e+02]
 [-7.26890137e+02  4.64597198e+02]
 [-1.11382373e+03  4.90932770e+02]
 [-7.49590637e+02  4.73689178e+02]
 [-1.08074182e+03  4.87309174e+02]
 [-1.62977551e+03  5.06045990e+02]
 [ 3.61386642e+01  4.58982544e+02]
 [-4.47678467e+02  4.57951050e+02]
 [-5.73468933e+01  4.75211853e+02]
 [-5.90223450e+02  4.62761261e+02]
 [ 9.07943649e+01  4.83211395e+02]
 [ 1.81263519e+02  4.87824219e+02]
 [-8.69112610e+02  4.58688873e+02]
 [ 1.28009872e+02  4.91225281e+02]
 [-4.31293755e+01  5.02225067e+02]
 [-5.01566803e+02  4.73212921e+02]
 [ 4.11295319e+01  4.93076965e+02]
 [-8.80665588e+02  4.91936951e+02]
 [-6.34484673e+00  4.71782104e+02]
 [-2.91050476e+02  4.85948334e+02]
 [ 3.44586334e+01  4.82106628e+02]
 [ 1.49417618e+02  4.68468109e+02]
 [-3.10963989e+02  5.00662262e+02]
 [-8.46666748e+02  4.75224426e+02]
 [-7.46466187e+02  4.59929291e+02]
 [-7.97048096e+02  4.58476105e+02]
 [-9.50876007e+01  4.97015198e+02]
 [ 7.96884460e+01  4.73479279e+02]
 [ 8.81249847e+01  4.89615753e+02]
 [-1.52620010e+02  4.67520294e+02]
 [-1.64210190e+02  5.05643372e+02]
 [-1.38683533e+02  4.90168274e+02]
 [-8.40730774e+02  4.82270966e+02]
 [-3.85441437e+01  4.97502045e+02]
 [-6.85817261e+02  4.67199249e+02]
