fitness: [[ 8.77579193e+01  4.92103394e+02]
 [ 2.91771851e+01  4.86196198e+02]
 [-1.36697034e+03  4.84215485e+02]
 [-6.33366760e+02  4.56790192e+02]
 [ 2.28814835e+02  4.81060883e+02]
 [-1.93494553e+02  4.55102997e+02]
 [-9.31271973e+02  4.63250427e+02]
 [-5.06337097e+02  4.86198608e+02]
 [-8.20629501e+01  4.85552826e+02]
 [ 1.06117943e+02  4.81779907e+02]
 [ 7.01177521e+01  4.96922668e+02]
 [ 1.86748447e+01  4.87540192e+02]
 [-1.24544250e+03  4.97825439e+02]
 [-7.79501648e+02  4.68721802e+02]
 [-6.78559326e+02  4.61353485e+02]
 [-1.34743176e+03  4.96976074e+02]
 [-1.29275073e+03  5.01445770e+02]
 [-9.06153687e+02  4.79879456e+02]
 [ 7.21868420e+00  4.51022064e+02]
 [-7.49232727e+02  4.94106293e+02]
 [-8.01606506e+02  4.74689362e+02]
 [-8.43136902e+02  4.84329742e+02]
 [-6.88578552e+02  4.61557617e+02]
 [-1.06040512e+02  4.89599426e+02]
 [-3.16852295e+02  4.65967804e+02]
 [-1.61330396e+03  4.97377594e+02]
 [-1.54686707e+03  5.13556702e+02]
 [-6.79832886e+02  4.63314514e+02]
 [-1.04777603e+02  4.63593994e+02]
 [-1.09465247e+03  4.91872711e+02]
 [-1.55143823e+03  5.07275665e+02]
 [-1.59069202e+03  4.98858246e+02]
 [-8.63765198e+02  4.88811218e+02]
 [ 2.15375244e+02  4.81483307e+02]
 [-6.92092834e+02  4.60795593e+02]
 [-9.76384949e+02  4.87778259e+02]
 [-4.72129700e+02  4.60858398e+02]
 [-7.13772339e+02  4.65229462e+02]
 [-2.17944916e+02  4.52320496e+02]
 [ 1.36256814e+00  4.77770142e+02]
 [-2.43516541e+02  4.83445435e+02]
 [-1.00199896e+03  4.86113739e+02]
 [-1.44858606e+03  4.96193115e+02]
 [ 8.57361450e+01  4.75560730e+02]
 [-1.19160449e+03  5.12577271e+02]
 [ 1.15311600e+02  4.54768158e+02]
 [-6.63668518e+02  4.62153168e+02]
 [-9.24770203e+02  4.77251221e+02]
 [ 6.54182386e+00  4.81970520e+02]
 [-1.11697253e+03  4.87962433e+02]
 [-5.30872253e+02  4.60933716e+02]
 [-1.06621437e+02  4.80379730e+02]
 [ 1.40997744e+01  4.99974762e+02]
 [-1.03323135e+01  4.62245880e+02]
 [-7.00754089e+01  4.85808472e+02]
 [-7.64001831e+02  4.66993286e+02]
 [ 1.32084045e+01  4.84268372e+02]
 [-1.22443481e+03  4.90011322e+02]
 [-7.10850647e+02  4.62179565e+02]
 [-2.20063339e+02  4.71176514e+02]
 [-3.44376349e+00  4.64627960e+02]
 [-1.21874365e+03  4.87569794e+02]
 [ 8.22201462e+01  4.78994934e+02]
 [-7.90386260e-01  4.72100464e+02]
 [-5.50053162e+02  4.71051697e+02]
 [ 1.40926758e+02  4.63522980e+02]
 [ 3.59337006e+01  4.91652863e+02]
 [-8.65420166e+02  4.67336792e+02]
 [-7.50353943e+02  4.62473633e+02]
 [ 9.21358719e+01  4.93929810e+02]
 [-1.27307922e+03  5.00896210e+02]
 [ 3.18797741e+01  4.82315704e+02]
 [-9.39124939e+02  4.85661591e+02]
 [-1.32584503e+02  5.01617218e+02]
 [ 2.60076542e+01  4.71242249e+02]
 [-9.87262695e+02  4.88158875e+02]
 [-3.48682434e+02  4.84775421e+02]
 [-8.33686401e+02  4.60404266e+02]
 [-5.16848022e+02  4.66565460e+02]
 [-6.15555542e+02  4.64112335e+02]
 [-2.31063628e+00  4.62827698e+02]
 [-1.11613025e+03  4.92600586e+02]
 [-6.64014465e+02  4.64117462e+02]
 [-5.42088074e+02  4.61871643e+02]
 [ 4.61004448e+01  4.68347900e+02]
 [-1.36140894e+03  4.92703857e+02]
 [-1.17777075e+03  4.86332611e+02]
 [-8.05709229e+02  4.60357483e+02]
 [-7.07567871e+02  4.58095886e+02]
 [-6.84384094e+02  4.58805481e+02]
 [ 4.41578522e+01  4.80434784e+02]
 [ 4.80716629e+01  4.73958740e+02]
 [-6.77328735e+02  4.60972351e+02]
 [-1.54651221e+03  4.95767761e+02]
 [ 3.36684845e+02  4.82599426e+02]
 [-1.43635712e+02  4.90814728e+02]
 [-1.42958716e+03  4.91392853e+02]
 [-1.52446423e+03  5.05731354e+02]
 [ 9.59888306e+01  4.82558502e+02]
 [-8.17018967e+01  4.69189514e+02]
 [-4.55518768e+02  4.61239532e+02]
 [-3.81140564e+02  4.56591583e+02]
 [ 4.13897552e+01  4.78876770e+02]
 [-8.07715271e+02  4.61769928e+02]
 [-7.11401306e+02  4.64034760e+02]
 [-1.22914581e+02  4.58206268e+02]
 [ 1.87760468e+02  4.83452942e+02]
 [-5.03465057e+02  4.57419464e+02]
 [-8.59198792e+02  4.64126648e+02]
 [ 4.34571037e+01  4.91070679e+02]
 [-1.45445752e+03  5.08800018e+02]
 [-7.17368103e+02  4.63524597e+02]
 [ 1.41313950e+02  4.89516357e+02]
 [ 3.86041794e+01  4.66166138e+02]
 [-1.09541763e+02  4.54486420e+02]
 [ 1.61957077e+02  4.83050568e+02]
 [ 1.40226730e+02  4.95649963e+02]
 [-8.36861511e+02  4.58818146e+02]
 [-1.36575378e+03  4.92431915e+02]
 [-8.11138855e+02  4.62063232e+02]
 [-1.51604935e+02  4.86250519e+02]
 [-1.05654187e+03  4.84774414e+02]
 [-5.73743896e+02  4.65895966e+02]
 [-1.04985449e+03  4.83368866e+02]
 [-1.30327258e+03  5.02402252e+02]
 [ 8.72217026e+01  4.85591370e+02]
 [-4.48928185e+01  5.00457062e+02]
 [-8.42919678e+02  4.69890991e+02]
 [-4.48251587e+02  4.63233948e+02]
 [-1.36111145e+03  4.91003510e+02]
 [-1.01415588e+03  4.90869904e+02]
 [ 1.78079758e+02  4.75790558e+02]
 [-9.34711304e+02  4.67314148e+02]
 [-1.80137085e+03  4.96397491e+02]
 [-8.72096436e+02  4.74415649e+02]
 [ 2.85939423e+02  4.91534210e+02]
 [-1.01536914e+03  4.86737366e+02]
 [-1.90608109e+02  5.09786499e+02]
 [-7.20156189e+02  4.66297455e+02]
