fitness: [[ 3.48127251e+01  4.90997681e+02]
 [ 1.15521133e+02  5.03447540e+02]
 [-1.39686584e+03  4.90855896e+02]
 [-5.32889414e+00  4.78805237e+02]
 [ 1.53664001e+02  4.79642059e+02]
 [-1.78778488e+02  4.88877594e+02]
 [-7.47661316e+02  4.69421143e+02]
 [-5.51267090e+02  4.60341797e+02]
 [-1.54064319e+03  4.98397888e+02]
 [ 1.89024582e+02  4.71121429e+02]
 [-1.61722485e+03  5.04629364e+02]
 [ 2.62539307e+02  4.84748108e+02]
 [-1.07248802e+02  4.85378540e+02]
 [-3.77236847e+02  4.59872253e+02]
 [-2.01558945e+02  4.59743103e+02]
 [-2.97728455e+02  4.80221527e+02]
 [-2.40789986e+01  4.81244080e+02]
 [-9.11605225e+02  4.67298859e+02]
 [-2.29095535e+02  4.85513336e+02]
 [ 1.80610809e+02  4.96983551e+02]
 [-6.44733826e+02  4.62770752e+02]
 [-1.64235376e+03  4.97735901e+02]
 [-3.89902306e+01  4.80856689e+02]
 [-3.00362968e+01  4.82746429e+02]
 [ 5.90265541e+01  4.82625275e+02]
 [-7.17357056e+02  4.67825348e+02]
 [-1.62896057e+03  5.03460297e+02]
 [-1.38059070e+03  5.05836426e+02]
 [ 3.17746124e+02  4.82070404e+02]
 [ 5.51970024e+01  4.77345001e+02]
 [-4.84796906e+02  4.60130371e+02]
 [-3.26264435e+02  4.52251312e+02]
 [-4.68481941e+01  4.52341858e+02]
 [ 5.33457756e-01  4.96373383e+02]
 [ 6.55237732e+01  4.94938538e+02]
 [-5.79403259e+02  4.57588470e+02]
 [ 2.96083889e+01  4.68218781e+02]
 [-1.05234581e+02  4.81112396e+02]
 [ 6.92607651e+01  4.63009705e+02]
 [-9.31484375e+02  4.84588959e+02]
 [-3.16735973e+01  4.89988373e+02]
 [-2.53882656e+01  4.56913910e+02]
 [-5.07951904e+02  4.55554993e+02]
 [-6.74107300e+02  4.87918152e+02]
 [ 7.58345652e+00  4.87414032e+02]
 [-1.54489502e+03  5.04417694e+02]
 [-3.30729279e+02  4.70000732e+02]
 [-9.14019775e+02  4.84755371e+02]
 [ 4.53149843e+00  4.54576355e+02]
 [-1.35643860e+03  5.00185822e+02]
 [-6.44387150e+00  4.53304596e+02]
 [ 6.81539459e+01  4.54600128e+02]
 [ 1.41855631e+01  4.78130707e+02]
 [-1.03046410e+02  4.85794342e+02]
 [-8.18742493e+02  4.59777618e+02]
 [-9.82372192e+02  4.77818848e+02]
 [-1.60417041e+03  5.08481476e+02]
 [-2.77798309e+02  4.51823883e+02]
 [-1.46304031e+02  4.78155792e+02]
 [ 5.49531708e+01  4.75650757e+02]
 [-1.67120407e+02  4.57089386e+02]
 [-5.10671448e+02  4.69811127e+02]
 [ 1.10425247e+02  4.77677887e+02]
 [-7.15635681e+02  4.60464844e+02]
 [ 9.78112888e+00  4.75040894e+02]
 [-4.83047981e+01  4.94631378e+02]
 [ 1.44290123e+01  4.65530182e+02]
 [ 7.28050385e+01  4.66387146e+02]
 [ 1.00453400e+02  4.86739624e+02]
 [ 5.33622551e+01  4.84486511e+02]
 [ 6.78824463e+01  4.53442810e+02]
 [ 1.73200665e+01  4.93635681e+02]
 [ 1.18513153e+02  4.63596954e+02]
 [-1.17534045e+03  4.84033020e+02]
 [ 1.72735634e+01  4.91164642e+02]
 [-1.39155151e+03  4.92414215e+02]
 [-4.00503723e+02  4.60591003e+02]
 [-1.01699146e+03  4.84504608e+02]
 [-1.58179773e+03  4.99306854e+02]
 [-5.97475403e+02  4.69125427e+02]
 [-1.02238928e+03  4.72088562e+02]
 [-3.50033417e+01  4.83657013e+02]
 [-6.13370300e+02  4.55501007e+02]
 [ 8.64068909e+01  4.70403229e+02]
 [-9.20530090e+02  4.61300842e+02]
 [-7.21464783e+02  4.58216309e+02]
 [-5.40941101e+02  4.62124420e+02]
 [-5.53529358e+02  4.60144745e+02]
 [-6.79422913e+02  4.59112946e+02]
 [-8.04050842e+02  4.65128937e+02]
 [-1.38807535e+01  4.54203674e+02]
 [-4.49826355e+01  4.52418243e+02]
 [-1.04950098e+03  4.94623627e+02]
 [-1.18921606e+03  4.95266205e+02]
 [-1.02962883e+02  5.01028198e+02]
