it: 51, min: -282.0489196777344, max: -22.12026596069336, mean: -229.42999267578125, var: 3115.313720703125, global_min: -297.9772033691406
it: 52, min: -296.0723571777344, max: -24.751619338989258, mean: -234.13743591308594, var: 2120.814208984375, global_min: -297.9772033691406
it: 53, min: -279.7525939941406, max: -27.125709533691406, mean: -240.27088928222656, var: 667.4634399414062, global_min: -297.9772033691406
it: 54, min: -279.0663757324219, max: -26.557941436767578, mean: -229.68280029296875, var: 2121.604248046875, global_min: -297.9772033691406
it: 55, min: -285.20220947265625, max: -31.004928588867188, mean: -230.21624755859375, var: 2280.90576171875, global_min: -297.9772033691406
it: 56, min: -313.3522033691406, max: -31.233016967773438, mean: -238.5924530029297, var: 1238.80078125, global_min: -313.3522033691406
it: 57, min: -291.08544921875, max: -29.013784408569336, mean: -243.61190795898438, var: 1059.567138671875, global_min: -313.3522033691406
it: 58, min: -319.6114501953125, max: -21.42928123474121, mean: -250.62062072753906, var: 1860.4224853515625, global_min: -319.6114501953125
it: 59, min: -338.2342529296875, max: -22.634519577026367, mean: -240.300048828125, var: 7227.328125, global_min: -338.2342529296875
it: 60, min: -392.29437255859375, max: -22.105854034423828, mean: -264.50054931640625, var: 5385.259765625, global_min: -392.29437255859375
it: 61, min: -447.9221496582031, max: -25.407556533813477, mean: -286.4654541015625, var: 2221.142822265625, global_min: -447.9221496582031
it: 62, min: -470.66461181640625, max: -50.94599151611328, mean: -306.3622131347656, var: 2775.97216796875, global_min: -470.66461181640625
it: 63, min: -512.0548095703125, max: -32.689979553222656, mean: -320.6125183105469, var: 3056.37109375, global_min: -512.0548095703125
it: 64, min: -525.478759765625, max: -198.03024291992188, mean: -332.3797302246094, var: 2323.246826171875, global_min: -525.478759765625
it: 65, min: -531.689697265625, max: -227.61163330078125, mean: -335.732421875, var: 2035.083740234375, global_min: -531.689697265625
it: 66, min: -533.6466674804688, max: -25.17469596862793, mean: -359.4525451660156, var: 2759.473388671875, global_min: -533.6466674804688
it: 67, min: -601.9158935546875, max: -22.11566162109375, mean: -383.7751159667969, var: 13986.21484375, global_min: -601.9158935546875
it: 68, min: -702.0368041992188, max: -18.34059715270996, mean: -456.8299865722656, var: 44746.69921875, global_min: -702.0368041992188
it: 69, min: -865.1551513671875, max: -20.889385223388672, mean: -555.7135009765625, var: 51308.41015625, global_min: -865.1551513671875
it: 70, min: -1049.6744384765625, max: -31.09162139892578, mean: -689.800048828125, var: 43168.3828125, global_min: -1049.6744384765625
it: 71, min: -1060.806640625, max: -227.8447723388672, mean: -856.3499755859375, var: 56920.93359375, global_min: -1060.806640625
it: 72, min: -1059.9031982421875, max: -193.01783752441406, mean: -750.031005859375, var: 106159.1484375, global_min: -1060.806640625
it: 73, min: -1061.013671875, max: -229.0812530517578, mean: -843.789794921875, var: 50385.0546875, global_min: -1061.013671875
it: 74, min: -1060.264404296875, max: -244.32640075683594, mean: -742.468505859375, var: 26366.259765625, global_min: -1061.013671875
it: 75, min: -1060.2105712890625, max: -252.22108459472656, mean: -775.0140380859375, var: 30222.12109375, global_min: -1061.013671875
it: 76, min: -1059.4864501953125, max: -200.63699340820312, mean: -838.1099243164062, var: 63815.9375, global_min: -1061.013671875
it: 77, min: -1060.5924072265625, max: -207.91305541992188, mean: -822.5354614257812, var: 81330.640625, global_min: -1061.013671875
it: 78, min: -1060.8521728515625, max: -232.3041534423828, mean: -845.5701293945312, var: 39178.34765625, global_min: -1061.013671875
it: 79, min: -1060.691650390625, max: -250.06809997558594, mean: -800.2196655273438, var: 30294.751953125, global_min: -1061.013671875
it: 80, min: -1060.34619140625, max: -250.15667724609375, mean: -866.8853149414062, var: 37703.53515625, global_min: -1061.013671875
it: 81, min: -1060.3553466796875, max: -230.3637237548828, mean: -863.1149291992188, var: 65171.32421875, global_min: -1061.013671875
it: 82, min: -1061.0660400390625, max: -254.80267333984375, mean: -889.9302978515625, var: 41790.8828125, global_min: -1061.0660400390625
it: 83, min: -1060.6331787109375, max: -329.8136291503906, mean: -863.915771484375, var: 28539.287109375, global_min: -1061.0660400390625
it: 84, min: -1061.134765625, max: -306.31109619140625, mean: -888.7115478515625, var: 30370.064453125, global_min: -1061.134765625
it: 85, min: -1061.4454345703125, max: -265.5067443847656, mean: -911.8899536132812, var: 46257.05078125, global_min: -1061.4454345703125
it: 86, min: -1061.833251953125, max: -244.2057342529297, mean: -911.4957885742188, var: 40419.8359375, global_min: -1061.833251953125
it: 87, min: -1060.9439697265625, max: -324.6669616699219, mean: -899.66015625, var: 26383.41015625, global_min: -1061.833251953125
it: 88, min: -1060.7022705078125, max: -318.741943359375, mean: -921.3276977539062, var: 21970.337890625, global_min: -1061.833251953125
it: 89, min: -1060.7872314453125, max: -264.53863525390625, mean: -928.2437133789062, var: 46004.5234375, global_min: -1061.833251953125
it: 90, min: -1062.61376953125, max: -289.4846496582031, mean: -961.1202392578125, var: 31744.359375, global_min: -1062.61376953125
it: 91, min: -1061.3790283203125, max: -335.2748107910156, mean: -950.48193359375, var: 19590.94921875, global_min: -1062.61376953125
it: 92, min: -1061.9300537109375, max: -349.2539978027344, mean: -972.8209228515625, var: 16156.9931640625, global_min: -1062.61376953125
it: 93, min: -1060.6610107421875, max: -241.8900909423828, mean: -939.718505859375, var: 44940.84765625, global_min: -1062.61376953125
it: 94, min: -1062.891845703125, max: -272.68603515625, mean: -989.4071044921875, var: 21162.21484375, global_min: -1062.891845703125
it: 95, min: -1061.4810791015625, max: -361.1296691894531, mean: -967.3693237304688, var: 16269.3505859375, global_min: -1062.891845703125
it: 96, min: -1062.583984375, max: -352.4393005371094, mean: -1011.6412963867188, var: 9171.92578125, global_min: -1062.891845703125
it: 97, min: -1062.216552734375, max: -309.5555419921875, mean: -993.8090209960938, var: 25419.349609375, global_min: -1062.891845703125
it: 98, min: -1060.6241455078125, max: -324.61407470703125, mean: -1004.1309204101562, var: 18204.927734375, global_min: -1062.891845703125
it: 99, min: -1063.050537109375, max: -312.5133361816406, mean: -1006.50341796875, var: 8698.689453125, global_min: -1063.050537109375
it: 100, min: -1063.302978515625, max: -392.7306823730469, mean: -1026.25146484375, var: 5143.40185546875, global_min: -1063.302978515625
it: 101, min: -1060.325927734375, max: -335.677734375, mean: -1028.2470703125, var: 6590.81982421875, global_min: -1063.302978515625
it: 102, min: -1063.881591796875, max: -399.6612854003906, mean: -1034.240478515625, var: 2529.36474609375, global_min: -1063.881591796875
it: 103, min: -1062.2105712890625, max: -386.1492004394531, mean: -1025.8021240234375, var: 7162.736328125, global_min: -1063.881591796875
it: 104, min: -1063.4945068359375, max: -351.8684387207031, mean: -1027.506103515625, var: 5347.607421875, global_min: -1063.881591796875
