fitness: [[ 1.70663818e+02  4.94235687e+02]
 [-3.24366608e+02  4.78678253e+02]
 [ 1.32783508e+02  5.00397308e+02]
 [-5.75845833e+01  4.59499878e+02]
 [-1.30815393e+03  5.04103851e+02]
 [-2.08142929e+02  4.69320770e+02]
 [-1.43470300e+03  5.00617554e+02]
 [-1.11742114e+03  4.87152649e+02]
 [-4.53987701e+02  4.61329346e+02]
 [-2.45828766e+02  4.85549408e+02]
 [-8.87054016e+02  4.75617401e+02]
 [-8.21748962e+02  4.56222870e+02]
 [-6.99757385e+02  4.67943390e+02]
 [-4.06209717e+02  4.62831879e+02]
 [-1.12303322e+02  4.92188080e+02]
 [-1.72825607e+02  4.65285583e+02]
 [ 2.91082935e+01  4.79591919e+02]
 [-7.15893188e+02  4.59552063e+02]
 [-7.70919952e+01  4.60761383e+02]
 [-7.20511658e+02  4.71258057e+02]
 [ 2.67526520e+02  5.04090485e+02]
 [-8.01488724e+01  4.59573792e+02]
 [ 4.69833832e+01  4.91957977e+02]
 [ 7.92848969e+01  4.72743256e+02]
 [-1.38911169e+03  5.05675476e+02]
 [-2.71222412e+02  4.62387817e+02]
 [-8.92643814e+01  4.89615204e+02]
 [-5.73373833e+01  4.82111237e+02]
 [-8.20826904e+02  4.66216370e+02]
 [-1.03983932e+02  4.57852264e+02]
 [-5.27782043e+02  4.64560944e+02]
 [-6.77620361e+02  4.58605225e+02]
 [ 5.62493401e+01  4.57469391e+02]
 [ 2.95290771e+02  5.03209473e+02]
 [ 3.49865265e+01  4.88849030e+02]
 [-1.75965866e+02  4.63088470e+02]
 [-1.82306473e+02  4.53427185e+02]
 [ 2.48583862e+02  4.66685883e+02]
 [ 1.19024391e+01  4.62203552e+02]
 [-7.13356781e+01  4.91923584e+02]
 [-5.18757172e+01  4.71695190e+02]
 [-9.30321594e+02  4.65284729e+02]
 [ 5.83813057e+01  4.97855103e+02]
 [-5.34619080e+02  4.57923401e+02]
 [-7.28160645e+02  4.67598267e+02]
