fitness: [[ 2.05644913e+01  4.88424866e+02]
 [-1.92365021e+02  4.64981384e+02]
 [-7.78871613e+01  4.85584015e+02]
 [-4.58761322e+02  4.60188171e+02]
 [-1.03068958e+03  4.84406647e+02]
 [-3.90444702e+02  4.70441193e+02]
 [ 1.77196960e+02  4.95755859e+02]
 [-1.20894580e+03  5.13798401e+02]
 [-1.25502892e+02  4.97323456e+02]
 [-5.82266602e+02  4.73714722e+02]
 [ 1.94782181e+02  4.51942383e+02]
 [-6.65796753e+02  4.72780823e+02]
 [ 9.59745255e+01  4.87839142e+02]
 [ 1.97999573e+02  4.81080994e+02]
 [-8.83807190e+02  5.10554901e+02]
 [-1.42964783e+03  5.14363892e+02]
 [-9.16182007e+02  4.87940155e+02]
 [-1.95025421e+02  4.63736053e+02]
 [-1.81875610e+02  4.65772339e+02]
 [-1.08749121e+03  4.94891113e+02]
 [-7.29546204e+02  4.70269592e+02]
 [-6.34961365e+02  4.77049866e+02]
 [ 9.82911682e+01  4.61451599e+02]
 [-8.79973999e+02  4.72046478e+02]
 [-9.86735840e+01  4.80946838e+02]
 [-9.83147812e+00  4.73860291e+02]
 [-5.89309509e+02  4.77373810e+02]
 [-4.14361305e+01  4.75247345e+02]
 [-9.18370361e+02  4.73987488e+02]
 [ 6.75508194e+01  4.94904785e+02]
 [-6.07356323e+02  4.66610870e+02]
 [-6.12900635e+02  4.71888763e+02]
 [-7.62068237e+02  4.68889954e+02]
 [-6.62598145e+02  4.68508423e+02]
 [-1.10534656e+03  5.09728363e+02]
 [-3.58587311e+02  4.58350494e+02]
 [-4.84628632e+02  4.73394318e+02]
 [-1.47912216e+02  4.64173676e+02]
 [ 7.23514023e+01  4.80809448e+02]
 [-6.36270203e+02  4.70411499e+02]
 [-1.74352676e+02  4.65965729e+02]
 [-7.77302124e+02  4.68188904e+02]
 [-1.23882538e+02  4.88460785e+02]
 [-1.80847870e+02  4.55312531e+02]
 [-6.46579819e+01  4.63963684e+02]
 [-3.95311279e+02  4.61269775e+02]
 [-6.06736633e+02  4.91709808e+02]
 [-2.78331177e+02  4.61239868e+02]
 [-5.08563194e+01  4.62581970e+02]
 [-4.54666260e+02  4.73345703e+02]
 [-5.62741333e+02  4.72242462e+02]
 [-5.22592163e+02  4.71174042e+02]
 [-1.97318039e+02  4.61705109e+02]
 [-2.45334229e+02  4.77930298e+02]
 [-1.15464185e+03  5.09710907e+02]
 [-1.03168054e+03  5.04103394e+02]
 [-4.05910828e+02  4.64336853e+02]
 [ 1.33455139e+02  4.94135071e+02]
 [ 1.00789055e+02  4.68167511e+02]
 [ 4.58921127e+01  4.81838745e+02]
 [-1.51838043e+02  4.61945587e+02]
 [-1.35959680e+03  4.96525513e+02]
 [-2.71643951e+02  4.68360657e+02]
 [-1.49519943e+02  4.63247894e+02]
 [-1.02636609e+03  5.08983917e+02]
 [-9.45305542e+02  5.00469482e+02]
 [ 2.16002304e+02  4.90784821e+02]
 [-4.80017042e+00  4.77209351e+02]
 [ 1.82949448e+01  4.73095215e+02]
 [-1.41738586e+02  4.60804657e+02]
 [-5.21184814e+02  4.70460297e+02]
 [-4.45017853e+02  4.61298737e+02]
 [-1.11688733e+03  5.12772522e+02]
 [ 9.28507767e+01  4.71133392e+02]
 [-6.32301636e+02  4.68012085e+02]
 [ 5.27978058e+01  4.76225586e+02]
 [-6.71902390e+01  4.63421570e+02]
 [-4.39937744e+01  5.04960358e+02]
 [ 1.15459831e+02  4.71989075e+02]
 [-2.59589119e+01  4.72024200e+02]
 [-2.93202057e+02  4.63219696e+02]
 [-5.27625977e+02  4.64364990e+02]
 [ 1.52429535e+02  4.79795441e+02]
 [-5.24486465e+01  4.69847595e+02]
 [-1.36209375e+03  5.11068146e+02]
 [-3.35386810e+02  4.61002594e+02]
 [-6.41455933e+02  4.73754883e+02]
 [-3.33221039e+02  4.58567078e+02]
 [ 3.59442596e+01  4.82777802e+02]
 [ 3.61727071e+00  4.62712677e+02]
 [-1.01355243e+03  5.00510651e+02]
 [-3.42427429e+02  4.63799683e+02]
