fitness: [[ 2.48632469e+01  4.90178406e+02]
 [-7.04847870e+01  4.90197327e+02]
 [-4.03183624e+02  4.57503113e+02]
 [-8.68758118e+02  4.66313660e+02]
 [-1.04104862e+01  4.54027618e+02]
 [-3.71503326e+02  4.55671967e+02]
 [-4.86379974e+02  4.58053284e+02]
 [-6.05420166e+02  4.64709381e+02]
 [-1.28981979e+02  4.54758545e+02]
 [-7.83462097e+02  4.64957001e+02]
 [-8.19136047e+01  4.87897858e+02]
 [-1.11394983e+03  4.88806610e+02]
 [-2.88727760e+01  4.72053894e+02]
 [-1.14603613e+03  4.82125702e+02]
 [-5.79068787e+02  4.65448608e+02]
 [-8.79780579e+02  4.65146698e+02]
 [ 7.79345016e+01  4.94880096e+02]
 [-5.45363579e+01  4.75511261e+02]
 [-5.94811340e+02  4.62587463e+02]
 [-8.93437988e+02  4.80091675e+02]
 [-4.96720551e+02  4.60107117e+02]
 [-6.87865524e+01  4.55797424e+02]
 [ 1.08251312e+02  5.03705353e+02]
 [-6.31075134e+02  4.54609161e+02]
 [ 3.33952972e+02  4.93256744e+02]
 [-4.13894768e+01  4.84932709e+02]
 [-1.50523999e+03  4.96491211e+02]
 [-8.26609558e+02  4.69711731e+02]
 [-5.60128174e+02  4.54461670e+02]
 [-6.75509277e+02  4.60055603e+02]
 [-1.50647461e+03  5.08131042e+02]
 [-7.85580627e+02  4.64437256e+02]
 [-6.18824829e+02  4.56896362e+02]
 [-1.64488977e+03  4.97578247e+02]
 [-8.58626465e+02  4.85719818e+02]
 [-2.44965317e+02  4.54522369e+02]
 [ 4.15493088e+01  4.78922363e+02]
 [-1.17861255e+03  4.86374969e+02]
 [-1.45040674e+03  4.96182343e+02]
 [-6.55592499e+01  4.73053528e+02]
 [ 1.34369858e+02  4.92004913e+02]
 [ 5.11170731e+01  4.90532532e+02]
 [-1.20895850e+03  5.01909851e+02]
 [-5.43595886e+02  4.61676086e+02]
 [-9.05926941e+02  4.62398865e+02]
 [-7.21048584e+02  4.57307831e+02]
 [-1.54142896e+03  5.03152679e+02]
 [ 9.18257999e+00  4.89717651e+02]
 [ 2.15832400e+00  4.67625946e+02]
 [-4.02361298e+02  4.56914154e+02]
 [-1.41593311e+03  5.04214813e+02]
 [-7.86804932e+02  4.64340973e+02]
 [-1.53883630e+03  4.89807495e+02]
 [-5.34422607e+02  4.65604553e+02]
 [-7.92397095e+02  4.62854828e+02]
 [-2.78275848e+02  4.49047760e+02]
 [-1.75003784e+03  5.04502167e+02]
 [ 7.95330963e+01  5.06325562e+02]
 [ 1.08581448e+01  4.62540131e+02]
 [ 4.83461456e+01  4.88447418e+02]
 [-1.58855255e+02  4.86238953e+02]
 [-7.97498230e+02  4.62732361e+02]
 [ 6.13961563e+01  4.62979309e+02]
 [-1.00792975e+03  4.68087372e+02]
 [ 1.82425232e+02  4.81241608e+02]
 [-6.97767151e+02  4.64025116e+02]
 [-1.28841339e+02  4.71893555e+02]
