it: 51, min: -1301.34912109375, max: -66.71769714355469, mean: -1099.47998046875, var: 66583.1484375, global_min: -1301.34912109375
it: 52, min: -1341.1092529296875, max: -78.22217559814453, mean: -1126.7398681640625, var: 72656.3203125, global_min: -1341.1092529296875
it: 53, min: -1360.6192626953125, max: -55.406681060791016, mean: -1144.9091796875, var: 77312.828125, global_min: -1360.6192626953125
it: 54, min: -1397.3187255859375, max: -50.06433868408203, mean: -1176.3472900390625, var: 81386.0078125, global_min: -1397.3187255859375
it: 55, min: -1408.09375, max: -71.1043930053711, mean: -1155.10986328125, var: 108861.796875, global_min: -1408.09375
it: 56, min: -1455.7578125, max: -63.3303108215332, mean: -1190.385009765625, var: 102990.7578125, global_min: -1455.7578125
it: 57, min: -1440.16015625, max: -57.44190216064453, mean: -1160.416748046875, var: 132903.4375, global_min: -1455.7578125
it: 58, min: -1463.2440185546875, max: -65.41500091552734, mean: -1178.2291259765625, var: 141568.640625, global_min: -1463.2440185546875
it: 59, min: -1523.767578125, max: -41.30378723144531, mean: -1129.2764892578125, var: 179220.0, global_min: -1523.767578125
it: 60, min: -1489.1234130859375, max: -68.24732208251953, mean: -1124.0545654296875, var: 177217.078125, global_min: -1523.767578125
it: 61, min: -1527.1591796875, max: -40.56785583496094, mean: -1129.5423583984375, var: 191210.515625, global_min: -1527.1591796875
it: 62, min: -1515.588134765625, max: -100.74771881103516, mean: -1225.1170654296875, var: 132902.8125, global_min: -1527.1591796875
it: 63, min: -1518.6904296875, max: -70.54000854492188, mean: -1154.0975341796875, var: 180795.390625, global_min: -1527.1591796875
it: 64, min: -1525.8809814453125, max: -134.7791748046875, mean: -1216.863525390625, var: 153539.390625, global_min: -1527.1591796875
it: 65, min: -1527.4130859375, max: -43.522193908691406, mean: -1238.69580078125, var: 143079.25, global_min: -1527.4130859375
it: 66, min: -1516.47998046875, max: -47.07927322387695, mean: -1221.4991455078125, var: 145417.0625, global_min: -1527.4130859375
it: 67, min: -1500.7110595703125, max: -86.17496490478516, mean: -1242.251953125, var: 130926.0, global_min: -1527.4130859375
it: 68, min: -1506.5611572265625, max: -243.55210876464844, mean: -1291.388916015625, var: 92129.546875, global_min: -1527.4130859375
it: 69, min: -1507.1907958984375, max: -77.21965789794922, mean: -1302.3270263671875, var: 89747.2578125, global_min: -1527.4130859375
it: 70, min: -1546.3511962890625, max: -62.231727600097656, mean: -1294.2481689453125, var: 107609.40625, global_min: -1546.3511962890625
it: 71, min: -1553.8045654296875, max: -45.72507095336914, mean: -1306.254638671875, var: 106583.109375, global_min: -1553.8045654296875
it: 72, min: -1599.99365234375, max: -73.23886108398438, mean: -1295.415771484375, var: 137192.75, global_min: -1599.99365234375
it: 73, min: -1623.02880859375, max: -50.582672119140625, mean: -1322.111572265625, var: 132552.5, global_min: -1623.02880859375
it: 74, min: -1612.9566650390625, max: -68.8470687866211, mean: -1351.3929443359375, var: 128378.359375, global_min: -1623.02880859375
it: 75, min: -1610.73876953125, max: -69.64603424072266, mean: -1381.0474853515625, var: 110883.78125, global_min: -1623.02880859375
it: 76, min: -1631.8365478515625, max: -56.923954010009766, mean: -1374.4093017578125, var: 126476.65625, global_min: -1631.8365478515625
it: 77, min: -1680.97265625, max: -60.592491149902344, mean: -1391.595458984375, var: 110111.5703125, global_min: -1680.97265625
it: 78, min: -1643.8175048828125, max: -209.95191955566406, mean: -1412.62939453125, var: 89657.578125, global_min: -1680.97265625
it: 79, min: -1644.9285888671875, max: -39.95108413696289, mean: -1428.0401611328125, var: 86119.9765625, global_min: -1680.97265625
it: 80, min: -1701.1337890625, max: -49.0468864440918, mean: -1433.653076171875, var: 76264.6953125, global_min: -1701.1337890625
it: 81, min: -1678.8262939453125, max: -66.3629379272461, mean: -1428.6031494140625, var: 96476.5390625, global_min: -1701.1337890625
it: 82, min: -1675.886474609375, max: -42.06272888183594, mean: -1432.9088134765625, var: 109091.21875, global_min: -1701.1337890625
it: 83, min: -1717.3651123046875, max: -55.69551467895508, mean: -1456.179931640625, var: 100369.6015625, global_min: -1717.3651123046875
it: 84, min: -1708.912109375, max: -51.064369201660156, mean: -1475.2764892578125, var: 94065.9453125, global_min: -1717.3651123046875
it: 85, min: -1739.7022705078125, max: -23.11038589477539, mean: -1486.7508544921875, var: 91801.1171875, global_min: -1739.7022705078125
it: 86, min: -1836.4639892578125, max: -16.695188522338867, mean: -1506.982177734375, var: 108041.7109375, global_min: -1836.4639892578125
it: 87, min: -1813.3116455078125, max: 0.4950144588947296, mean: -1513.79931640625, var: 121046.5390625, global_min: -1836.4639892578125
it: 88, min: -1817.178466796875, max: -25.93061065673828, mean: -1482.3760986328125, var: 175870.5625, global_min: -1836.4639892578125
it: 89, min: -1897.5238037109375, max: -23.60616683959961, mean: -1442.8392333984375, var: 233507.46875, global_min: -1897.5238037109375
it: 90, min: -1840.156494140625, max: -29.44801902770996, mean: -1456.4281005859375, var: 202087.015625, global_min: -1897.5238037109375
it: 91, min: -1853.564697265625, max: -29.435813903808594, mean: -1440.904296875, var: 228024.078125, global_min: -1897.5238037109375
it: 92, min: -1820.82958984375, max: -32.274444580078125, mean: -1487.16064453125, var: 186025.140625, global_min: -1897.5238037109375
it: 93, min: -1843.9093017578125, max: -45.4721565246582, mean: -1507.1983642578125, var: 172578.71875, global_min: -1897.5238037109375
it: 94, min: -1866.86376953125, max: -142.99676513671875, mean: -1574.7486572265625, var: 88645.9609375, global_min: -1897.5238037109375
it: 95, min: -1818.103271484375, max: -31.88856315612793, mean: -1596.4481201171875, var: 65288.61328125, global_min: -1897.5238037109375
it: 96, min: -1857.1748046875, max: -41.840267181396484, mean: -1603.676513671875, var: 60465.39453125, global_min: -1897.5238037109375
it: 97, min: -1871.1314697265625, max: -44.75788879394531, mean: -1604.403076171875, var: 83201.6171875, global_min: -1897.5238037109375
it: 98, min: -1913.8870849609375, max: -122.1105728149414, mean: -1617.2049560546875, var: 116385.5390625, global_min: -1913.8870849609375
it: 99, min: -1958.5633544921875, max: -55.74901580810547, mean: -1563.0201416015625, var: 210753.953125, global_min: -1958.5633544921875
it: 100, min: -2036.1329345703125, max: -38.48444366455078, mean: -1499.5078125, var: 286140.53125, global_min: -2036.1329345703125
it: 101, min: -1981.6710205078125, max: -56.95097732543945, mean: -1516.482666015625, var: 292440.84375, global_min: -2036.1329345703125
it: 102, min: -1992.2386474609375, max: -53.59526443481445, mean: -1565.3114013671875, var: 263176.8125, global_min: -2036.1329345703125
it: 103, min: -1969.0234375, max: -67.68926239013672, mean: -1632.088134765625, var: 166775.921875, global_min: -2036.1329345703125
it: 104, min: -1977.950439453125, max: -16.232637405395508, mean: -1609.4659423828125, var: 193377.359375, global_min: -2036.1329345703125
it: 105, min: -1976.8404541015625, max: -87.9743881225586, mean: -1658.6456298828125, var: 123919.9765625, global_min: -2036.1329345703125
it: 106, min: -1952.49560546875, max: -247.10069274902344, mean: -1634.199462890625, var: 144469.625, global_min: -2036.1329345703125
it: 107, min: -2019.5302734375, max: -106.30140686035156, mean: -1678.6385498046875, var: 119855.1953125, global_min: -2036.1329345703125
it: 108, min: -2020.809814453125, max: -51.67438888549805, mean: -1659.4046630859375, var: 146883.703125, global_min: -2036.1329345703125
it: 109, min: -2028.5289306640625, max: -79.82688903808594, mean: -1677.75341796875, var: 138564.171875, global_min: -2036.1329345703125
it: 110, min: -2023.6895751953125, max: -56.16822052001953, mean: -1632.2490234375, var: 186579.4375, global_min: -2036.1329345703125
it: 111, min: -2004.470703125, max: -84.72891998291016, mean: -1612.35107421875, var: 212303.28125, global_min: -2036.1329345703125
it: 112, min: -2066.06396484375, max: -37.69720458984375, mean: -1645.90185546875, var: 198433.875, global_min: -2066.06396484375
it: 113, min: -1983.0810546875, max: -29.474843978881836, mean: -1643.2918701171875, var: 188826.921875, global_min: -2066.06396484375
