fitness: [[ 1.65838043e+02  4.65103241e+02]
 [ 4.13052483e+01  4.86002808e+02]
 [-4.48085449e+02  4.52939301e+02]
 [-4.11115967e+02  4.48956055e+02]
 [-5.66411743e+01  4.87804291e+02]
 [-5.62592957e+02  4.57451508e+02]
 [-1.38287292e+03  4.98982239e+02]
 [-8.31878967e+01  4.62257141e+02]
 [-8.15275635e+02  4.73331146e+02]
 [-7.13636169e+02  4.65778839e+02]
 [-1.07829578e+03  4.83551422e+02]
 [ 3.29978828e+01  4.82392395e+02]
 [-1.35699060e+03  4.97616211e+02]
 [-1.05006543e+03  4.88323029e+02]
 [-4.91850861e+02  4.58183899e+02]
 [-1.31526782e+03  4.91103027e+02]
 [-1.10828613e+03  4.94747406e+02]
 [-5.82521790e+02  4.61985718e+02]
 [-1.28801587e+03  5.00863464e+02]
 [ 5.71026497e+01  4.86502502e+02]
 [-3.13412567e+02  4.97260406e+02]
 [ 1.87996857e+02  4.79600739e+02]
 [-6.11844116e+02  4.57911896e+02]
 [-1.07760913e+03  4.83732178e+02]
 [ 7.58040543e+01  4.95639862e+02]
 [-9.03836914e+02  4.65928436e+02]
 [-7.26993530e+02  4.69326752e+02]
 [-9.95250610e+02  4.81110291e+02]
 [ 1.08575172e+02  4.73700531e+02]
 [-8.52999878e+02  4.81020905e+02]
 [-1.26783533e+03  4.85207489e+02]
 [-1.01725449e+02  4.71914337e+02]
 [-3.54940643e+01  4.80285339e+02]
 [-6.24100037e+02  4.74575287e+02]
 [-1.33804855e+02  4.56388947e+02]
 [-9.74982910e+02  4.86301788e+02]
 [-4.27962921e+02  4.58899750e+02]
 [ 1.27797127e+02  4.84129608e+02]
 [-1.22415820e+03  5.00145752e+02]
 [-1.10778137e+03  4.83544403e+02]
 [ 6.76001883e+00  4.78909027e+02]
 [-9.43028931e+02  4.84213379e+02]
 [-5.98271362e+02  4.60745026e+02]
 [-1.40434033e+03  5.07178558e+02]
 [ 7.57067919e-01  4.91619080e+02]
 [-1.33716223e+03  4.98386932e+02]
 [ 4.61057472e+01  4.91866455e+02]
 [-5.02106720e+02  4.66916321e+02]
 [-1.81111893e+02  4.92438629e+02]
 [ 2.52292969e+02  5.03116272e+02]
 [-5.14306702e+02  4.85040161e+02]
 [-9.73361389e+02  4.82183685e+02]
 [ 3.72690887e+01  4.88310699e+02]
 [-4.09001740e+02  4.54121704e+02]
 [-3.86658508e+02  4.63575104e+02]
 [-8.55107056e+02  4.69304382e+02]
 [-2.30965378e+02  4.83410156e+02]
 [-5.85226929e+02  4.65121643e+02]
 [-1.56825330e+03  5.13282104e+02]
 [-3.00041504e+02  4.53143127e+02]
 [ 8.85868988e+01  4.81794464e+02]
 [-6.60725159e+02  4.62677765e+02]
 [-7.62515869e+02  4.81173981e+02]
 [-9.87962646e+02  4.86977539e+02]
 [ 8.76219330e+01  4.70166351e+02]
 [-1.25339893e+03  4.87451294e+02]
 [-1.35767859e+03  5.04275421e+02]
 [ 1.18819933e+01  4.80344635e+02]
 [-1.36731714e+03  4.87075531e+02]
 [-1.36045081e+03  5.04511444e+02]
 [ 2.90991783e+01  4.86545746e+02]
 [-1.78174789e+02  4.73146027e+02]
 [-3.15589619e+01  4.88152374e+02]
 [-9.30293640e+02  4.80792847e+02]
 [-6.95095398e+02  4.72459045e+02]
 [-7.78302185e+02  4.67971710e+02]
 [-9.51436218e+02  4.74388184e+02]
 [-1.34369226e+03  4.97459991e+02]
 [-6.85468018e+02  4.73843597e+02]
 [-1.41399500e+03  5.05809113e+02]
 [-1.56986121e+03  4.95302979e+02]
 [-1.71053970e+02  4.60818481e+02]
 [-6.16073494e+01  4.84976044e+02]
 [-1.07994873e+03  4.84659760e+02]
 [-6.84827209e+02  4.65296173e+02]
 [-1.30934656e+03  5.02380219e+02]
 [-2.36248322e+01  5.02100281e+02]
 [-1.05446606e+03  5.03238251e+02]
 [-9.29412964e+02  4.80849854e+02]
 [-1.63194604e+03  5.00024353e+02]
 [-6.33861160e+01  4.56885925e+02]
 [-2.11763916e+02  4.54890717e+02]
 [-3.89924866e+02  4.50278656e+02]
 [-1.38304150e+03  5.07740967e+02]
 [-6.76287048e+02  4.64368042e+02]
 [ 3.42550049e+01  4.73272827e+02]
 [-1.09075305e+03  4.72333923e+02]
 [-2.06964813e+02  4.87167572e+02]
 [-1.45926099e+03  4.79422607e+02]
 [ 7.83811264e+01  5.02362946e+02]
 [-7.22634949e+02  4.58946472e+02]
 [-9.48922119e+02  4.81373810e+02]
 [ 2.87856995e+02  4.81242950e+02]
 [-6.43967102e+02  4.64035278e+02]
 [-5.82757690e+02  4.55654541e+02]
 [-5.01369514e+01  4.50619141e+02]
 [-7.16224731e+02  4.63131195e+02]
 [-1.06458337e+03  4.82212280e+02]
 [-9.41884399e+02  4.71287933e+02]
 [ 1.78926193e+02  5.03854401e+02]
 [ 9.52279663e+01  4.53635040e+02]
 [-1.35517407e+03  5.01635742e+02]
 [-4.65591309e+02  4.60476440e+02]
 [-2.23524887e+02  4.83336273e+02]
 [-5.13724670e+02  4.60470703e+02]
 [-8.60473450e+02  4.68650970e+02]
 [-1.52893845e+02  4.92775024e+02]
 [-5.83631348e+02  4.65580658e+02]
 [-1.46039661e+03  5.11233429e+02]
 [-2.48049332e+02  4.57077789e+02]
 [-7.65906860e+02  4.81853607e+02]
 [-1.18175818e+03  4.92121826e+02]
 [-7.16112610e+02  4.65179169e+02]
 [-2.91255093e+01  4.71286652e+02]
 [-4.27737610e+02  4.63996704e+02]
 [-4.52882118e+01  4.68425232e+02]
 [-9.59551086e+02  4.83484497e+02]
 [-4.15188171e+02  4.61661163e+02]
 [-6.99363892e+02  4.64251801e+02]
 [ 1.35720505e+02  4.89141113e+02]
 [-1.21165820e+03  4.81492340e+02]
 [ 3.21943092e+01  4.79949158e+02]
 [-7.50379639e+02  4.63487335e+02]
 [-6.85289307e+02  4.70842499e+02]
 [-3.32377777e+02  4.96685486e+02]
 [-7.38771545e+02  4.67873932e+02]
 [ 2.67720070e+01  4.56228943e+02]
 [-1.73245239e+03  5.11039856e+02]
 [-1.04187415e+03  4.63616547e+02]
 [-9.66175964e+02  4.84912567e+02]
 [-9.48926147e+02  4.76417023e+02]
 [ 1.42258575e+02  4.82245697e+02]
 [-1.48716663e+03  5.00275940e+02]
 [-1.45917993e+03  5.10072723e+02]
 [ 3.06235237e+01  4.71267700e+02]
 [ 3.62453888e+02  4.74603821e+02]
 [-1.03187271e+02  4.51999756e+02]
 [-1.04620105e+03  4.85921387e+02]
 [ 9.37798538e+01  4.94218933e+02]
 [-6.44309311e+01  4.71845184e+02]
 [-1.25101843e+03  4.90220337e+02]
 [ 1.63626297e+02  4.80688873e+02]
 [-8.42555969e+02  4.66399750e+02]
 [-1.16591895e+03  4.85369385e+02]
 [-1.24335754e+03  5.06091156e+02]
 [-7.35785278e+02  4.74383942e+02]
 [-1.80972122e+02  4.83247711e+02]
 [-3.43947716e+01  4.99750092e+02]
 [-2.73911011e+02  4.56453247e+02]
 [-1.41900867e+03  5.01016724e+02]
 [-3.97344025e+02  4.49235138e+02]
 [-7.15324951e+02  4.60433075e+02]
 [-6.02326317e+01  4.70112549e+02]
 [-4.26508980e+01  4.53583557e+02]
 [-1.66368787e+03  5.06631775e+02]
 [-1.38981714e+03  5.00129150e+02]
 [-1.37145309e+02  4.60468994e+02]
 [-5.85044922e+02  4.61607788e+02]
 [-9.01037659e+02  4.89748260e+02]
 [-1.06296118e+03  4.94761139e+02]
 [-9.92019775e+02  4.74465729e+02]
 [ 7.80230865e+01  4.87274994e+02]
 [-1.65476654e+02  4.78161804e+02]
 [-1.03008057e+03  4.91004791e+02]
 [-6.38322327e+02  4.57717804e+02]
 [-1.02382135e+03  4.84182220e+02]
 [-8.05327209e+02  4.82596497e+02]
 [-7.53274292e+02  4.68797119e+02]
 [-5.39301453e+02  4.62554901e+02]
 [-2.37142296e+01  4.82007690e+02]
 [-1.01605396e+03  4.73910919e+02]
 [-7.66874512e+02  4.60779144e+02]
 [-4.27369019e+02  4.63570770e+02]
 [-9.77845337e+02  4.87101685e+02]
 [-8.22888550e+02  4.70378571e+02]
 [ 3.39913055e+02  4.75654999e+02]
 [-8.44912842e+02  4.70588806e+02]
 [-1.21566382e+03  4.97058167e+02]
 [-7.36718628e+02  4.78869568e+02]
 [-7.52511414e+02  4.79237000e+02]
 [-5.91773010e+02  4.66675446e+02]
 [-7.86885742e+02  4.75018494e+02]
 [-1.37282214e+03  5.00222412e+02]
 [-1.64404968e+02  4.57564270e+02]
 [-7.38344971e+02  4.70401062e+02]
 [ 5.22584305e+01  4.99984283e+02]
 [-6.23702942e+02  4.58710388e+02]
 [ 5.51080589e+01  5.06414246e+02]
 [-8.17855286e+02  4.82792603e+02]
 [-3.56477242e+01  4.80236450e+02]
 [-4.75189148e+02  5.05568878e+02]
 [-6.42890564e+02  4.83826721e+02]
 [ 1.63873043e+01  4.90560394e+02]
 [-5.53368721e+01  4.77225433e+02]
 [-8.67472900e+02  4.73126282e+02]
 [ 1.58124695e+02  4.69252350e+02]
 [-1.06429333e+03  4.84904694e+02]
 [-1.27914307e+03  4.83306915e+02]
 [ 3.42841263e+01  4.91369415e+02]
 [ 1.15377102e+01  4.57137360e+02]
 [-8.43772339e+02  4.68837494e+02]
 [-3.77443512e+02  5.10328339e+02]
 [ 1.81709213e+01  4.88151337e+02]
 [-1.02853479e+03  4.89698303e+02]
 [-5.87867371e+02  4.70238525e+02]
 [-2.80220032e+02  4.80232574e+02]
 [-9.49729797e+02  4.89960114e+02]
 [-8.13210571e+02  4.71614258e+02]
 [-1.01783440e+02  4.89629486e+02]
 [-7.98860535e+02  4.81282257e+02]
 [ 1.03310822e+02  4.74586731e+02]
 [-1.25322285e+01  4.80514862e+02]
 [-1.42599634e+03  4.98104156e+02]
 [-5.52898499e+02  4.60368927e+02]
 [-4.30643860e+02  4.99359100e+02]
 [ 1.00894600e+02  4.83335724e+02]
 [-7.73745422e+01  4.94086548e+02]
 [-1.18965881e+03  4.97387756e+02]
 [-1.49070221e+02  4.88989075e+02]
 [ 4.17737160e+01  4.96216370e+02]
 [ 4.66206116e+02  4.87320496e+02]
 [-6.71465210e+02  4.69945312e+02]
 [ 1.23281189e+02  4.93417603e+02]
 [-7.94298584e+02  4.75228790e+02]
 [-8.00220795e+01  4.74932617e+02]
 [-2.57301392e+02  4.75052490e+02]
 [ 2.78414062e+02  4.86586182e+02]
 [-6.50624512e+02  4.83825470e+02]
 [-1.30499780e+03  5.00266907e+02]
 [-7.41728943e+02  4.68940094e+02]
 [-2.45787704e+02  4.93536987e+02]
 [-8.91783630e+02  4.84772766e+02]
 [-7.29702377e+01  4.73507965e+02]
 [ 1.93031273e+01  4.96913666e+02]
 [-6.90366760e+02  4.98932709e+02]
 [-1.11070312e+03  4.77740967e+02]
 [-3.95107666e+02  4.89137451e+02]
 [ 2.02550705e+02  4.89575043e+02]
 [-7.91181946e+01  4.98922302e+02]
 [-1.10617737e+03  4.87140350e+02]
 [ 5.49960709e+01  5.02235199e+02]
 [-3.15661192e+00  4.93564362e+02]
 [-6.39320801e+02  4.74214233e+02]
 [-1.07960925e+03  4.72436890e+02]
 [-1.15875952e+03  4.99719971e+02]
 [-8.13593933e+02  4.78418243e+02]
 [-3.90026215e+02  4.87412384e+02]
 [-8.20069275e+02  4.76478943e+02]
 [-8.97176025e+02  4.66721832e+02]
 [-6.96286377e+02  4.63776245e+02]
 [ 6.45719070e+01  4.87850342e+02]
 [-7.04888855e+02  4.67432922e+02]
 [-1.17144983e+03  4.81374634e+02]
 [-2.32266144e+02  4.91926025e+02]
 [-7.33393799e+02  4.75838501e+02]
 [-3.34785217e+02  4.97721313e+02]
 [-6.03148682e+02  4.61412445e+02]
 [ 1.46782246e+01  4.90573669e+02]
 [-3.84519043e+01  5.04728271e+02]
 [ 2.20092916e+00  4.83300781e+02]
 [ 1.40911682e+02  4.75023376e+02]
 [-8.24537373e+00  4.85061096e+02]
 [-1.30081482e+03  4.87315247e+02]
 [-8.32404785e+01  4.74463837e+02]
 [-8.60184265e+02  4.74856689e+02]
 [-3.18541077e+02  4.92659241e+02]
 [ 1.74141693e+01  4.89422638e+02]
 [-5.27044678e+02  4.88241425e+02]
 [ 4.58853292e+00  4.76110107e+02]
 [-3.91639252e+02  4.97166260e+02]
 [-1.44757355e+02  4.95484985e+02]
 [ 3.82965698e+02  5.03547729e+02]
 [-1.04025391e+03  4.83587372e+02]
 [-6.45675659e+02  4.74337860e+02]
 [ 8.72005157e+01  4.82586945e+02]
 [-8.56324234e+01  4.79011536e+02]
 [-5.04311142e+01  4.88811615e+02]
 [-6.65609619e+02  4.85227539e+02]
 [ 5.32227173e+01  4.82346802e+02]
 [-1.11189514e+03  4.87629120e+02]
 [-1.52888892e+03  4.99106323e+02]
 [-1.00897791e+03  4.83351135e+02]
 [ 6.33200226e+01  4.89087738e+02]
 [ 3.03027096e+01  4.83495819e+02]
 [-1.04156726e+03  4.83534027e+02]
 [-3.85016693e+02  4.60399261e+02]
 [-4.55638695e+01  5.23825195e+02]
 [-2.92448211e+00  4.83842102e+02]
 [-6.35035095e+02  4.74817078e+02]
 [-1.63157181e+02  4.85664215e+02]
 [-1.46863785e+02  4.70091095e+02]
 [-7.61281372e+02  4.77594849e+02]
 [-1.95251450e+02  4.85025055e+02]
 [-1.82251205e+02  4.99097076e+02]
 [-8.24592224e+02  4.69072540e+02]
 [-6.55349365e+02  4.66998749e+02]
 [-1.28235376e+03  4.99615234e+02]
 [-8.48567444e+02  4.78913422e+02]
 [ 1.78199585e+02  4.86312469e+02]
 [-1.60671234e+02  4.54176849e+02]
 [-7.26424194e+02  4.71663269e+02]
 [ 1.24769981e+02  4.71766266e+02]
 [-8.13999481e+01  4.99182648e+02]
 [-5.58021362e+02  4.77309723e+02]
 [-5.73441223e+02  4.68855377e+02]
 [ 2.75334091e+01  4.88350616e+02]
 [-1.17514490e+03  4.89139130e+02]
