it: 1, min: 9.453753471374512, max: 100.0, mean: 70.39328002929688, var: 340.22021484375, global_min: 9.453753471374512
it: 2, min: 6.269184112548828, max: 200.0, mean: 156.5394744873047, var: 802.92138671875, global_min: 6.269184112548828
it: 3, min: 5.441558837890625, max: 200.0, mean: 157.1068878173828, var: 1083.031982421875, global_min: 5.441558837890625
it: 4, min: -64.55844116210938, max: 200.0, mean: 154.30393981933594, var: 1268.5006103515625, global_min: -64.55844116210938
it: 5, min: 37.63700485229492, max: 200.0, mean: 145.352294921875, var: 1125.44189453125, global_min: -64.55844116210938
it: 6, min: 45.441558837890625, max: 200.0, mean: 139.9639892578125, var: 903.2710571289062, global_min: -64.55844116210938
it: 7, min: 8.687111854553223, max: 200.0, mean: 133.78030395507812, var: 999.2626342773438, global_min: -64.55844116210938
it: 8, min: 5.441558837890625, max: 200.0, mean: 123.5740966796875, var: 1335.5496826171875, global_min: -64.55844116210938
it: 9, min: -101.55844116210938, max: 200.0, mean: 119.64962768554688, var: 2224.569580078125, global_min: -101.55844116210938
it: 10, min: -120.55844116210938, max: 200.0, mean: 111.3223876953125, var: 2294.500732421875, global_min: -120.55844116210938
it: 11, min: -22.935665130615234, max: 200.0, mean: 112.73249816894531, var: 1859.9908447265625, global_min: -120.55844116210938
it: 12, min: -123.55844116210938, max: 200.0, mean: 109.63835906982422, var: 2214.558349609375, global_min: -123.55844116210938
it: 13, min: -57.558441162109375, max: 200.0, mean: 108.45413970947266, var: 2086.6728515625, global_min: -123.55844116210938
it: 14, min: -24.558441162109375, max: 200.0, mean: 113.60407257080078, var: 2205.8671875, global_min: -123.55844116210938
it: 15, min: 5.441558837890625, max: 200.0, mean: 113.97943878173828, var: 2140.980224609375, global_min: -123.55844116210938
it: 16, min: -115.55844116210938, max: 200.0, mean: 110.44644165039062, var: 2605.939697265625, global_min: -123.55844116210938
it: 17, min: -4.558441162109375, max: 200.0, mean: 116.27388763427734, var: 2038.8111572265625, global_min: -123.55844116210938
it: 18, min: -166.55844116210938, max: 200.0, mean: 111.19046020507812, var: 2242.170166015625, global_min: -166.55844116210938
it: 19, min: -129.55844116210938, max: 200.0, mean: 110.83602905273438, var: 2558.181884765625, global_min: -166.55844116210938
it: 20, min: -161.55844116210938, max: 200.0, mean: 105.57489776611328, var: 4187.70654296875, global_min: -166.55844116210938
it: 21, min: -182.55844116210938, max: 200.0, mean: 101.78855895996094, var: 3817.484619140625, global_min: -182.55844116210938
it: 22, min: -161.55844116210938, max: 200.0, mean: 100.50513458251953, var: 3483.066162109375, global_min: -182.55844116210938
it: 23, min: -164.55844116210938, max: 200.0, mean: 100.77574157714844, var: 3651.929931640625, global_min: -182.55844116210938
it: 24, min: -170.55844116210938, max: 200.0, mean: 92.65674591064453, var: 4421.40283203125, global_min: -182.55844116210938
it: 25, min: -151.55844116210938, max: 200.0, mean: 95.20094299316406, var: 4274.69482421875, global_min: -182.55844116210938
it: 26, min: -163.55844116210938, max: 200.0, mean: 93.4486312866211, var: 4322.54833984375, global_min: -182.55844116210938
it: 27, min: -147.55844116210938, max: 200.0, mean: 87.84819030761719, var: 4038.895263671875, global_min: -182.55844116210938
it: 28, min: -161.55844116210938, max: 200.0, mean: 87.02687072753906, var: 4114.9326171875, global_min: -182.55844116210938
it: 29, min: -162.55844116210938, max: 200.0, mean: 85.95001983642578, var: 4634.03125, global_min: -182.55844116210938
it: 30, min: -154.55844116210938, max: 200.0, mean: 73.56281280517578, var: 5196.2333984375, global_min: -182.55844116210938
it: 31, min: -173.55844116210938, max: 200.0, mean: 67.40900421142578, var: 6832.14501953125, global_min: -182.55844116210938
it: 32, min: -156.55844116210938, max: 200.0, mean: 69.18450927734375, var: 7457.7734375, global_min: -182.55844116210938
it: 33, min: -181.55844116210938, max: 200.0, mean: 65.89281463623047, var: 9590.2421875, global_min: -182.55844116210938
it: 34, min: -180.55844116210938, max: 200.0, mean: 32.49073791503906, var: 9983.689453125, global_min: -182.55844116210938
it: 35, min: -177.55844116210938, max: 200.0, mean: 25.52251434326172, var: 9955.90625, global_min: -182.55844116210938
it: 36, min: -173.55844116210938, max: 200.0, mean: 10.663928031921387, var: 9472.75390625, global_min: -182.55844116210938
it: 37, min: -181.55844116210938, max: 186.27345275878906, mean: 27.679222106933594, var: 9790.142578125, global_min: -182.55844116210938
it: 38, min: -169.55844116210938, max: 200.0, mean: 26.179767608642578, var: 9833.630859375, global_min: -182.55844116210938
it: 39, min: -186.55844116210938, max: 200.0, mean: 29.23048973083496, var: 11812.0947265625, global_min: -186.55844116210938
it: 40, min: -183.55844116210938, max: 200.0, mean: 9.38663101196289, var: 12569.9326171875, global_min: -186.55844116210938
it: 41, min: -181.55844116210938, max: 200.0, mean: 22.34310531616211, var: 14501.0771484375, global_min: -186.55844116210938
it: 42, min: -184.55844116210938, max: 200.0, mean: 41.93350601196289, var: 14144.8369140625, global_min: -186.55844116210938
it: 43, min: -182.55844116210938, max: 200.0, mean: 40.069400787353516, var: 11521.6943359375, global_min: -186.55844116210938
it: 44, min: -187.55844116210938, max: 200.0, mean: 37.43984603881836, var: 9009.4951171875, global_min: -187.55844116210938
it: 45, min: -179.55844116210938, max: 200.0, mean: 32.9559440612793, var: 9476.2841796875, global_min: -187.55844116210938
it: 46, min: -179.55844116210938, max: 200.0, mean: 13.350303649902344, var: 10610.8251953125, global_min: -187.55844116210938
it: 47, min: -182.55844116210938, max: 200.0, mean: 20.345592498779297, var: 11327.3388671875, global_min: -187.55844116210938
it: 48, min: -189.55844116210938, max: 200.0, mean: 12.445737838745117, var: 12106.609375, global_min: -189.55844116210938
