fitness: [[ 3.28824222e-01  4.78460876e+02]
 [-4.14016266e+02  4.63897095e+02]
 [ 1.23180893e+02  4.79230927e+02]
 [-1.47340918e+03  5.01959961e+02]
 [-7.11821045e+02  4.64156189e+02]
 [-9.52849121e+01  4.81469177e+02]
 [-1.68445190e+02  4.57769379e+02]
 [-1.06667183e+02  4.75277893e+02]
 [-6.86308960e+02  4.65294983e+02]
 [-7.05249084e+02  4.60207886e+02]
 [ 1.39115234e+02  4.54959442e+02]
 [-1.57875439e+03  5.03615295e+02]
 [-6.73353638e+02  4.61619110e+02]
 [-9.48771729e+02  4.82891052e+02]
 [ 1.52175461e+02  4.66684235e+02]
 [-2.43912292e+02  4.61780792e+02]
 [-1.36583694e+02  4.91562439e+02]
 [-4.31258545e+02  4.62934204e+02]
 [-5.48583130e+02  4.65761353e+02]
 [-4.42800262e+02  4.79654114e+02]
 [-5.74109253e+02  4.63695068e+02]
 [-3.97424202e+01  4.77533813e+02]
 [-6.29411743e+02  4.65882111e+02]
 [-1.82649200e+02  4.68110779e+02]
 [-1.04291919e+03  4.82777863e+02]
 [ 7.77876511e+01  4.78160492e+02]
 [-7.56964783e+02  4.66712097e+02]
 [-7.96416321e+02  4.67793518e+02]
 [-8.55276855e+02  4.72161194e+02]
 [ 2.22267780e+01  4.53232025e+02]
 [-1.24778137e+03  4.84524628e+02]
 [-9.04666565e+02  4.68263733e+02]
 [-6.40215576e+02  4.61292572e+02]
 [-8.25871277e+02  4.74924286e+02]
 [-7.40477844e+02  4.66475433e+02]
 [-2.64587860e+01  4.86502228e+02]
 [-5.21409790e+02  4.75033112e+02]
 [-8.75966797e+02  4.69527985e+02]
 [ 1.35043274e+02  4.92792816e+02]
 [-8.38792953e+01  4.67887543e+02]
 [ 1.44980637e+02  4.66441193e+02]
 [-2.84366486e+02  4.52305969e+02]
 [ 8.40810852e+01  4.64762329e+02]
 [-1.11263586e+03  4.82637909e+02]
 [ 1.53364731e+02  4.75334778e+02]
 [-1.04835999e+02  4.83789307e+02]
 [ 1.49112305e+02  4.94655914e+02]
 [-5.20585449e+02  4.71955322e+02]
 [-7.08203125e+02  4.80080200e+02]
 [ 1.35001659e+01  5.04109589e+02]
 [-5.84746338e+02  4.57289246e+02]
 [ 6.75785980e+01  5.04515778e+02]
 [-1.38442505e+03  5.06669556e+02]
 [ 8.25291061e+01  4.79150757e+02]
 [-5.57464256e+01  4.75662262e+02]
 [-1.47315771e+03  4.92722992e+02]
 [-6.03880859e+02  4.60809998e+02]
 [-3.34791901e+02  4.91218018e+02]
 [ 2.68933655e+02  5.00802155e+02]
 [-3.07044868e+01  4.72585144e+02]
 [ 1.46130173e+02  4.85840118e+02]
 [-3.39620026e+02  5.02226227e+02]
 [-6.20937195e+02  4.63329987e+02]
 [-7.92938049e+02  4.69595306e+02]
 [-6.95390564e+02  4.65936432e+02]
 [-1.92672897e+02  4.98718445e+02]
 [-3.50815796e+02  4.81300629e+02]
 [-5.06434387e+02  4.97612671e+02]
 [-5.50075607e+01  4.95467468e+02]
 [-2.79989262e+01  4.91801147e+02]
 [-1.86007965e+02  4.75882080e+02]
 [-7.23221802e+02  4.90893951e+02]
 [-2.28242844e+02  4.83951874e+02]
 [ 2.79398590e+02  4.79353973e+02]
 [ 1.67760468e+01  4.75461945e+02]
 [-7.32641479e+02  4.76602325e+02]
 [-3.05764709e+02  4.83720459e+02]
 [ 1.48135300e+02  4.89576050e+02]
 [-4.00078339e+02  4.97237244e+02]
 [ 8.23995667e+01  5.09783173e+02]
 [ 6.62151489e+01  4.77658112e+02]
 [-1.29426163e+02  4.79305206e+02]
 [-7.10506104e+02  4.69429230e+02]
 [-8.11130127e+02  4.85904633e+02]
 [ 8.51234207e+01  4.81714447e+02]
 [-4.18882332e+01  4.87919586e+02]
 [-1.02768689e+03  4.96187164e+02]
 [-3.98316864e+02  4.86233856e+02]
 [-1.28140674e+03  4.94883087e+02]
 [-3.85233398e+02  4.63126831e+02]
 [-3.12218895e+01  4.92408173e+02]
 [-8.99708557e+02  4.78272980e+02]
 [-8.42333603e+01  4.90044739e+02]
 [ 1.12490074e+02  4.84503601e+02]
 [-8.41571655e+02  4.73806335e+02]
 [-9.02573975e+02  4.65393494e+02]
 [-2.09774536e+02  4.83155090e+02]
 [-1.00054909e+02  4.85160248e+02]
 [ 2.76801815e+01  4.82830505e+02]
 [-7.66743530e+02  4.60254120e+02]
 [-6.14770386e+02  4.83555298e+02]
 [ 2.26446335e+02  4.93153687e+02]
 [-3.37698059e+02  4.81593750e+02]
 [-1.45006809e+01  4.69576660e+02]
 [-8.20026184e+02  4.76005310e+02]
 [-6.80054504e+02  4.60641357e+02]
 [ 7.78493042e+01  5.00095581e+02]
 [-6.74593430e+01  4.95323883e+02]
 [-7.15215210e+02  4.64236298e+02]
 [-3.67801819e+02  4.99646881e+02]
 [-8.94372192e+02  4.74263367e+02]
 [ 2.38481247e+02  4.79618530e+02]
 [-8.84078552e+02  4.80030243e+02]
 [-1.24214600e+02  4.69323395e+02]
 [-7.86076477e+02  4.60934509e+02]
 [-1.76510391e+02  4.99965607e+02]
 [ 1.93649502e+01  4.88371887e+02]
 [ 7.92216263e+01  4.80578339e+02]
 [ 1.99682846e+01  4.96270233e+02]
 [-1.18801880e+02  4.96314148e+02]
 [-1.77154064e+01  4.67660217e+02]
 [-9.77222961e+02  4.80107574e+02]
 [-1.33293750e+03  5.01934601e+02]
 [ 1.22267937e+02  4.91566223e+02]
 [-7.53915100e+02  4.74435974e+02]
 [-6.37050537e+02  4.75238525e+02]
